IdMin,IdMax,Index,TableOffset,Text 
100,120,100,7104,"Online play item. Create a co-op summon sign. Be summoned to another world as a phantom through your sign, and defeat the area boss to gain the strength of flame. The nature of Lothric is murky, unclear. The White Sign Soapstone allows Unkindled to assist one another."
100,120,101,7646,"Online play item. Create a hostile red invasion sign. Be summoned to another world as a dark spirit, and defeat the Host of Embers to gain the strength of fire. Not all dark spirits are unsporting, or they wouldn't make use of this soapstone."
100,120,102,8136,"Online play item. Invade other worlds at will. Defeat the Host of Embers of the world you have invaded to gain the strength of fire. The Red Eye Orb is rooted in a tiny land swallowed by darkness long ago. Some choose to put the orb to other uses. To embark on this path, enter the service of Rosaria in the Cathedral of the Deep."
100,120,103,8802,"A charm of farewell granted to banished Undead. The crystal sends phantoms back to their homes, or you back to yours. Beware of fickle use of this item if you intend to nurture relations."
100,120,108,9180,"Online play item. A roster of knights of the Darkmoon who have served since the age of the old Royals. Use to discover the names of Darkmoon Knights, an order of elite knights shrouded in shadows."
100,120,111,9576,"Online play item. Allows a single invasion of another world. Defeat the Host of Embers of the world you have invaded to gain the strength of fire. The Cracked Red Orb is far from perfect, it seems, as Ringfinger Leonhard knows all too well."
100,120,115,10062,"Arcane orb left on Rosaria's corpse. Have faith her soul can be retrieved, by invading the world of her killer, and returning victorious. The Black Eye is proof of vengeance, but often appears serene as it casts its gaze toward Irithyll."
100,120,117,10542,"The Darksign is the sign of an accursed Undead. The Darksign returns its bearer to the last bonfire rested at, or the bonfire at Firelink Shrine, but at the cost of all souls held. Carriers of the Darksign are reborn after death, and eventually lose their minds, turning Hollow. And so it is they are driven from their homelands."
100,120,119,11206,"Online play item. Restore the connection to other worlds. Those who engage in unjust deeds when in contact with other worlds will lose their connection to them. Way of White Circlets assume such sin as their own, but are found few and far between. Acting without honor will never be without risk. "
150,171,150,11806,"The Undead treasure these dull green flasks. Fill with Estus at bonfires, and drink to restore HP. The journey of an Undead has always traced the bonfires, and no journey of import has been made without an Estus Flask."
150,171,151,12248,"The Undead treasure these dull green flasks. Fill with Estus at bonfires, and drink to restore HP. The journey of an Undead has always traced the bonfires, and no journey of import has been made without an Estus Flask."
150,171,152,12690,"The Undead treasure these dull green flasks. Fill with Estus at bonfires, and drink to restore HP. The journey of an Undead has always traced the bonfires, and no journey of import has been made without an Estus Flask."
150,171,153,13132,"The Undead treasure these dull green flasks. Fill with Estus at bonfires, and drink to restore HP. The journey of an Undead has always traced the bonfires, and no journey of import has been made without an Estus Flask."
150,171,154,13574,"The Undead treasure these dull green flasks. Fill with Estus at bonfires, and drink to restore HP. The journey of an Undead has always traced the bonfires, and no journey of import has been made without an Estus Flask."
150,171,155,14016,"The Undead treasure these dull green flasks. Fill with Estus at bonfires, and drink to restore HP. The journey of an Undead has always traced the bonfires, and no journey of import has been made without an Estus Flask."
150,171,156,14458,"The Undead treasure these dull green flasks. Fill with Estus at bonfires, and drink to restore HP. The journey of an Undead has always traced the bonfires, and no journey of import has been made without an Estus Flask."
150,171,157,14900,"The Undead treasure these dull green flasks. Fill with Estus at bonfires, and drink to restore HP. The journey of an Undead has always traced the bonfires, and no journey of import has been made without an Estus Flask."
150,171,158,15342,"The Undead treasure these dull green flasks. Fill with Estus at bonfires, and drink to restore HP. The journey of an Undead has always traced the bonfires, and no journey of import has been made without an Estus Flask."
150,171,159,15784,"The Undead treasure these dull green flasks. Fill with Estus at bonfires, and drink to restore HP. The journey of an Undead has always traced the bonfires, and no journey of import has been made without an Estus Flask."
150,171,160,16226,"The Undead treasure these dull green flasks. Fill with Estus at bonfires, and drink to restore HP. The journey of an Undead has always traced the bonfires, and no journey of import has been made without an Estus Flask."
150,171,161,16668,"The Undead treasure these dull green flasks. Fill with Estus at bonfires, and drink to restore HP. The journey of an Undead has always traced the bonfires, and no journey of import has been made without an Estus Flask."
150,171,162,17110,"The Undead treasure these dull green flasks. Fill with Estus at bonfires, and drink to restore HP. The journey of an Undead has always traced the bonfires, and no journey of import has been made without an Estus Flask."
150,171,163,17552,"The Undead treasure these dull green flasks. Fill with Estus at bonfires, and drink to restore HP. The journey of an Undead has always traced the bonfires, and no journey of import has been made without an Estus Flask."
150,171,164,17994,"The Undead treasure these dull green flasks. Fill with Estus at bonfires, and drink to restore HP. The journey of an Undead has always traced the bonfires, and no journey of import has been made without an Estus Flask."
150,171,165,18436,"The Undead treasure these dull green flasks. Fill with Estus at bonfires, and drink to restore HP. The journey of an Undead has always traced the bonfires, and no journey of import has been made without an Estus Flask."
150,171,166,18878,"The Undead treasure these dull green flasks. Fill with Estus at bonfires, and drink to restore HP. The journey of an Undead has always traced the bonfires, and no journey of import has been made without an Estus Flask."
150,171,167,19320,"The Undead treasure these dull green flasks. Fill with Estus at bonfires, and drink to restore HP. The journey of an Undead has always traced the bonfires, and no journey of import has been made without an Estus Flask."
150,171,168,19762,"The Undead treasure these dull green flasks. Fill with Estus at bonfires, and drink to restore HP. The journey of an Undead has always traced the bonfires, and no journey of import has been made without an Estus Flask."
150,171,169,20204,"The Undead treasure these dull green flasks. Fill with Estus at bonfires, and drink to restore HP. The journey of an Undead has always traced the bonfires, and no journey of import has been made without an Estus Flask."
150,171,170,20646,"The Undead treasure these dull green flasks. Fill with Estus at bonfires, and drink to restore HP. The journey of an Undead has always traced the bonfires, and no journey of import has been made without an Estus Flask."
150,171,171,21088,"The Undead treasure these dull green flasks. Fill with Estus at bonfires, and drink to restore HP. The journey of an Undead has always traced the bonfires, and no journey of import has been made without an Estus Flask."
190,211,190,21530,"Undead treasure these dull ashen flasks. Fill with Estus at bonfires, and drink to restore FP. Quite befitting of an Unkindled, an Ashen Estus Flask turns a bonfire's heat cold."
190,211,191,21890,"Undead treasure these dull ashen flasks. Fill with Estus at bonfires, and drink to restore FP. Quite befitting of an Unkindled, an Ashen Estus Flask turns a bonfire's heat cold."
190,211,192,22250,"Undead treasure these dull ashen flasks. Fill with Estus at bonfires, and drink to restore FP. Quite befitting of an Unkindled, an Ashen Estus Flask turns a bonfire's heat cold."
190,211,193,22610,"Undead treasure these dull ashen flasks. Fill with Estus at bonfires, and drink to restore FP. Quite befitting of an Unkindled, an Ashen Estus Flask turns a bonfire's heat cold."
190,211,194,22970,"Undead treasure these dull ashen flasks. Fill with Estus at bonfires, and drink to restore FP. Quite befitting of an Unkindled, an Ashen Estus Flask turns a bonfire's heat cold."
190,211,195,23330,"Undead treasure these dull ashen flasks. Fill with Estus at bonfires, and drink to restore FP. Quite befitting of an Unkindled, an Ashen Estus Flask turns a bonfire's heat cold."
190,211,196,23690,"Undead treasure these dull ashen flasks. Fill with Estus at bonfires, and drink to restore FP. Quite befitting of an Unkindled, an Ashen Estus Flask turns a bonfire's heat cold."
190,211,197,24050,"Undead treasure these dull ashen flasks. Fill with Estus at bonfires, and drink to restore FP. Quite befitting of an Unkindled, an Ashen Estus Flask turns a bonfire's heat cold."
190,211,198,24410,"Undead treasure these dull ashen flasks. Fill with Estus at bonfires, and drink to restore FP. Quite befitting of an Unkindled, an Ashen Estus Flask turns a bonfire's heat cold."
190,211,199,24770,"Undead treasure these dull ashen flasks. Fill with Estus at bonfires, and drink to restore FP. Quite befitting of an Unkindled, an Ashen Estus Flask turns a bonfire's heat cold."
190,211,200,25130,"Undead treasure these dull ashen flasks. Fill with Estus at bonfires, and drink to restore FP. Quite befitting of an Unkindled, an Ashen Estus Flask turns a bonfire's heat cold."
190,211,201,25490,"Undead treasure these dull ashen flasks. Fill with Estus at bonfires, and drink to restore FP. Quite befitting of an Unkindled, an Ashen Estus Flask turns a bonfire's heat cold."
190,211,202,25850,"Undead treasure these dull ashen flasks. Fill with Estus at bonfires, and drink to restore FP. Quite befitting of an Unkindled, an Ashen Estus Flask turns a bonfire's heat cold."
190,211,203,26210,"Undead treasure these dull ashen flasks. Fill with Estus at bonfires, and drink to restore FP. Quite befitting of an Unkindled, an Ashen Estus Flask turns a bonfire's heat cold."
190,211,204,26570,"Undead treasure these dull ashen flasks. Fill with Estus at bonfires, and drink to restore FP. Quite befitting of an Unkindled, an Ashen Estus Flask turns a bonfire's heat cold."
190,211,205,26930,"Undead treasure these dull ashen flasks. Fill with Estus at bonfires, and drink to restore FP. Quite befitting of an Unkindled, an Ashen Estus Flask turns a bonfire's heat cold."
190,211,206,27290,"Undead treasure these dull ashen flasks. Fill with Estus at bonfires, and drink to restore FP. Quite befitting of an Unkindled, an Ashen Estus Flask turns a bonfire's heat cold."
190,211,207,27650,"Undead treasure these dull ashen flasks. Fill with Estus at bonfires, and drink to restore FP. Quite befitting of an Unkindled, an Ashen Estus Flask turns a bonfire's heat cold."
190,211,208,28010,"Undead treasure these dull ashen flasks. Fill with Estus at bonfires, and drink to restore FP. Quite befitting of an Unkindled, an Ashen Estus Flask turns a bonfire's heat cold."
190,211,209,28370,"Undead treasure these dull ashen flasks. Fill with Estus at bonfires, and drink to restore FP. Quite befitting of an Unkindled, an Ashen Estus Flask turns a bonfire's heat cold."
190,211,210,28730,"Undead treasure these dull ashen flasks. Fill with Estus at bonfires, and drink to restore FP. Quite befitting of an Unkindled, an Ashen Estus Flask turns a bonfire's heat cold."
190,211,211,29090,"Undead treasure these dull ashen flasks. Fill with Estus at bonfires, and drink to restore FP. Quite befitting of an Unkindled, an Ashen Estus Flask turns a bonfire's heat cold."
240,242,240,29450,"Holy water blessed by the Queen of Lothric. Fully restores HP and cures ailments. The Queen of Lothric, married to the former King Oceiros, was initially revered as a goddess of fertility and bounty. After giving birth to Ocelotte, her youngest, she quietly disappeared."
240,242,241,29996,"Holy water blessed by the Queen of Lothric. Fully restores FP. There is a grave in Lothric that sees no visitors, a dark place where rootless warriors rest. The Queen of Lothric alone cared to wish the poor souls good fortune."
240,242,242,30454,"Silver pendant engraved with the crest of Artorias. One of the ancient treasures of Anor Londo. Presented to Artorias for facing the Abyss. Effectively deflects the Dark of the Abyss, especially in its magic forms."
260,311,260,30888,"Green weed, shaped like a flower. Temporary boost to stamina recovery speed. The Undead Legion of Farron are remembered for using this annual plant, normally found near clear water, to swing their mighty swords with abandon. "
260,311,261,31342,"Green flower-shaped weed with small white blooms. Large temporary boost to stamina recovery speed. Flowers of the Green Blossom are ethereal, blossoming only on the surface of chilled, but not frozen, water."
260,311,262,31762,"Green flower-shaped weed with small white blooms. Large temporary boost to stamina recovery speed. The brief attached messages suggests that it was a gift: "Good-bye, dear Grandmother. I will visit Grandfather, in the Pit of Hollows.""
260,311,270,32238,"Red moss clump used as maggot repellent. Reduces bleeding build-up. Bleeding builds up when attacked by sharp blades or spikes, and once triggered causes severe damage. Use this moss clump before it reaches that point."
260,311,271,32680,"Medicinal purple moss clump. Reduces poison build-up. Cures poison. Poison builds up in the body, and when it breaks out, it causes gradual damage over a period of time. Poison can be exasperating, so be sure to carry sufficient moss clumps when traveling to a blighted area."
260,311,272,33236,"Potently medicinal moss clump with a flower. Reduces poison and toxin. Cures ailments. A toxin is a more vicious form of poison which quickly leads to death. Moss clumps without blooms are useless against toxin, and those who neglect to carry this flowered variety are simply courting an early demise."
260,311,274,33844,"Ash-colored stone encasing a skull. Reduces undead curse build-up and cures hollowing. Inhabitants of Londor, the land of Hollows, use this secret treasure to feign normalcy. Occasionally, a Hollow fools even himself, and turns on his own kind."
260,311,276,34340,"Moss clump radiating gentle heat and light. Reduces frost build-up. Cures frostbite status. Frost accumulates in the body causing frostbite, which saps one's health, lowers absorption, and slows stamina recovery. Weapons imbued with frost are a rare thing indeed, most of them originating in the Boreal Valley."
260,311,277,34966,"A blessed charm. Cures poison and restores HP. Many such charms were blessed in reconstructed ancient ceremonies, carried out in the monastery of Lindelt, now known as the new home of miracles. Though it may lack the power of an original, in circumstances dire enough, an imitation can be quite enough."
260,311,280,35576,"Lightly enchanted golden powder. Repairs equipped weapons and armor, as long as they haven't already broken. Use of a weapon depletes its durability, eventually causing it to break. As long as a weapon is not broken, its durability can be restored at a bonfire, but for distant journeys, one may wish to prepare ahead."
260,311,290,36220,"Small throwing machete. Throw at enemies to cause bleeding damage. A unique weapon originally used by swordsmen of Carthus, but now popular among bandits and thieves."
260,311,292,36556,"Bisque urn filled with black powder. Explodes, inflicting fire damage. Fire damage, which differs from physical damage, is highly effective against creatures of flesh, beasts, and other foes that might naturally have cause to fear the flame."
260,311,293,37042,"Dried fecal waste material, moist on the inside. Throw at enemy to inflict toxin build-up, but also ups your own toxicity. Though the stench makes it difficult to carry on one's person, inflicting toxins on an enemy yields high damage over time. Perhaps some Undead have fond memories of waste. Or, perhaps not."
