IdMin,IdMax,Index,TableOffset,Text 
100,149,100,7840,"Havel's Ring"
100,149,101,7866,"Red Tearstone Ring"
100,149,102,7904,"Darkmoon Blade Covenant Ring"
100,149,103,7962,"Cat Covenant Ring"
100,149,104,7998,"Cloranthy Ring"
100,149,105,8028,"Flame Stoneplate Ring"
100,149,106,8072,"Thunder Stoneplate Ring"
100,149,107,8120,"Spell Stoneplate Ring"
100,149,108,8164,"Speckled Stoneplate Ring"
100,149,109,8214,"Bloodbite Ring"
100,149,110,8244,"Poisonbite Ring"
100,149,111,8276,"Tiny Being's Ring"
100,149,113,8312,"Cursebite Ring"
100,149,114,8342,"White Seance Ring"
100,149,115,8378,"Bellowing Dragoncrest Ring"
100,149,116,8432,"Dusk Crown Ring"
100,149,117,8464,"Hornet Ring"
100,149,119,8488,"Hawk Ring"
100,149,120,8508,"Ring of Steel Protection"
100,149,121,8558,"Covetous Gold Serpent Ring"
100,149,122,8612,"Covetous Silver Serpent Ring"
100,149,123,8670,"Slumbering Dragoncrest Ring"
100,149,124,8726,"Ring of Fog"
100,149,125,8750,"Rusted Iron Ring"
100,149,126,8784,"Ring of Sacrifice"
100,149,127,8820,"Rare Ring of Sacrifice"
100,149,128,8866,"Dark Wood Grain Ring"
100,149,130,8908,"Ring of the Sun Princess"
100,149,133,8958,"Ring of Condemnation"
100,149,134,9000,"Ring of Blind Ghosts"
100,149,137,9042,"Old Witch's Ring"
100,149,138,9076,"Covenant of Artorias"
100,149,139,9118,"Orange Charred Ring"
100,149,140,9158,"Ring of Displacement"
100,149,141,9200,"Lingering Dragoncrest Ring"
100,149,142,9254,"Ring of the Evil Eye"
100,149,143,9296,"Ring of Favor and Protection"
100,149,144,9354,"Leo Ring"
100,149,145,9372,"East Wood Grain Ring"
100,149,146,9414,"Wolf Ring"
100,149,147,9434,"Blue Tearstone Ring"
100,149,148,9474,"Ring of the Sun's Firstborn"
100,149,149,9530,"Darkmoon Seance Ring"
10000,10080,10000,9572,"Blade of the Darkmoon"
10000,10080,10020,9616,"Watchdogs of Farron"
10000,10080,10030,9656,"Aldrich Faithful"
10000,10080,10040,9690,"Warrior of Sunlight"
10000,10080,10050,9730,"Mound-makers"
10000,10080,10060,9756,"Way of Blue"
10000,10080,10070,9780,"Blue Sentinels"
10000,10080,10080,9810,"Rosaria's Fingers"
20000,20630,20000,9846,"Life Ring"
20000,20630,20001,9866,"Life Ring+1"
20000,20630,20002,9890,"Life Ring+2"
20000,20630,20003,9914,"Life Ring+3"
20000,20630,20010,9938,"Chloranthy Ring"
20000,20630,20011,9970,"Chloranthy Ring+1"
20000,20630,20012,10006,"Chloranthy Ring+2"
20000,20630,20020,10042,"Havel's Ring"
20000,20630,20021,10068,"Havel's Ring+1"
20000,20630,20022,10098,"Havel's Ring+2"
20000,20630,20030,10128,"Ring of Favor"
20000,20630,20031,10156,"Ring of Favor+1"
20000,20630,20032,10188,"Ring of Favor+2"
20000,20630,20040,10220,"Ring of Steel Protection"
20000,20630,20041,10270,"Ring of Steel Protection+1"
20000,20630,20042,10324,"Ring of Steel Protection+2"
20000,20630,20050,10378,"Flame Stoneplate Ring"
20000,20630,20051,10422,"Flame Stoneplate Ring+1"
20000,20630,20052,10470,"Flame Stoneplate Ring+2"
20000,20630,20060,10518,"Thunder Stoneplate Ring"
20000,20630,20061,10566,"Thunder Stoneplate Ring+1"
20000,20630,20062,10618,"Thunder Stoneplate Ring+2"
20000,20630,20070,10670,"Magic Stoneplate Ring"
20000,20630,20071,10714,"Magic Stoneplate Ring+1"
20000,20630,20072,10762,"Magic Stoneplate Ring+2"
20000,20630,20080,10810,"Dark Stoneplate Ring"
20000,20630,20081,10852,"Dark Stoneplate Ring+1"
20000,20630,20082,10898,"Dark Stoneplate Ring+2"
20000,20630,20090,10944,"Speckled Stoneplate Ring"
20000,20630,20091,10994,"Speckled Stoneplate Ring+1"
20000,20630,20100,11048,"Bloodbite Ring"
20000,20630,20101,11078,"Bloodbite Ring+1"
20000,20630,20110,11112,"Poisonbite Ring"
20000,20630,20111,11144,"Poisonbite Ring+1"
20000,20630,20120,11180,"Cursebite Ring"
20000,20630,20130,11210,"Fleshbite Ring"
20000,20630,20131,11240,"Fleshbite Ring+1"
20000,20630,20140,11274,"Wood Grain Ring"
20000,20630,20141,11306,"Wood Grain Ring+1"
20000,20630,20142,11342,"Wood Grain Ring+2"
20000,20630,20150,11378,"Scholar Ring"
20000,20630,20160,11404,"Priestess Ring"
20000,20630,20170,11434,"Red Tearstone Ring"
20000,20630,20180,11472,"Blue Tearstone Ring"
20000,20630,20190,11512,"Wolf Ring"
