IdMin,IdMax,Index,TableOffset,Text 
100,149,100,7856,"Boosts maximum equipment load"
100,149,101,7916,"Boosts ATK while HP is low"
100,149,102,7970,"Answer Dark Sun Gwyndolin's summoning"
100,149,103,8046,"Answer Alvina's summoning"
100,149,104,8098,"Boosts stamina recovery speed"
100,149,105,8158,"Boosts fire DEF"
100,149,106,8190,"Boosts lightning DEF"
100,149,107,8232,"Boosts magic DEF"
100,149,108,8266,"Slight boost for magic, fire, lightning DEF"
100,149,109,8354,"Boosts bleeding resistance"
100,149,110,8408,"Boosts poison resistance"
100,149,111,8458,"Small increase of HP"
100,149,113,8500,"Boosts curse resistance"
100,149,114,8548,"Grants additional attunement slots"
100,149,115,8618,"Boosts sorcery"
100,149,116,8648,"Grants extra sorcery castings, but halves HP"
100,149,117,8738,"Boosts critical attacks"
100,149,119,8786,"Extends bow range"
100,149,120,8822,"Boosts defense vs. physical attacks"
100,149,121,8894,"Boosts item discovery"
100,149,122,8938,"Additional souls absorbed for each kill"
100,149,123,9018,"Wearer produces no sound whatsoever"
100,149,124,9090,"Reduces presence to prevent discovery"
100,149,125,9166,"Improves balance on poor footing"
100,149,126,9232,"Lose nothing upon death, but ring breaks"
100,149,127,9314,"Die, lose nothing, nullify curse, ring breaks"
100,149,128,9406,"Changes rolling action"
100,149,130,9452,"Boosts miracle synergy"
100,149,133,9498,"Ring attacks when incurring sustained damage"
100,149,134,9588,"Grants stealth from cursed ghosts"
100,149,137,9656,"An old ring, with no known use"
100,149,138,9718,"Traverse abyss"
100,149,139,9748,"Reduces lava damage"
100,149,140,9788,"Sustains dmg in place of wearer, with % break"
100,149,141,9880,"Boosts length of sorcery effects"
100,149,142,9946,"Absorbs HP from fallen enemies"
100,149,143,10008,"Boosts HP, stamina, load. Breaks when removed."
100,149,144,10102,"Boosts counter attacks of thrust weapons"
100,149,145,10184,"Slows loss of weapon durability"
100,149,146,10248,"Boosts poise"
100,149,147,10274,"Boosts DEF while HP is low"
100,149,148,10328,"Boosts miracles"
100,149,149,10360,"Grants additional attunement slots"
10000,10080,10000,10430,"Pledge oneself to the Blade of the Darkmoon covenant"
10000,10080,10020,10536,"Pledge oneself to the Watchdogs of Farron covenant"
10000,10080,10030,10638,"Pledge oneself to the Aldrich Faithful covenant"
10000,10080,10040,10734,"Pledge oneself to the Warrior of Sunlight covenant"
10000,10080,10050,10836,"Pledge oneself to the Mound-makers covenant"
10000,10080,10060,10924,"Pledge oneself to the Way of Blue covenant"
10000,10080,10070,11010,"Pledge oneself to the Blue Sentinels covenant"
10000,10080,10080,11102,"Pledge oneself to the Rosaria's Fingers covenant"
20000,20830,20000,11200,"Raises maximum HP"
20000,20830,20001,11236,"Raises maximum HP"
20000,20830,20002,11272,"Raises maximum HP"
20000,20830,20003,11308,"Raises maximum HP"
20000,20830,20010,11344,"Raises stamina recovery speed"
20000,20830,20011,11404,"Raises stamina recovery speed"
20000,20830,20012,11464,"Raises stamina recovery speed"
20000,20830,20020,11524,"Increases maximum load"
20000,20830,20021,11570,"Increases maximum load"
20000,20830,20022,11616,"Increases maximum load"
20000,20830,20030,11662,"Increases HP, stamina, and maximum equip load"
20000,20830,20031,11754,"Increases HP, stamina, and maximum equip load"
20000,20830,20032,11846,"Increases HP, stamina, and maximum equip load"
20000,20830,20040,11938,"Increases physical damage absorption"
20000,20830,20041,12012,"Increases physical damage absorption"
20000,20830,20042,12086,"Increases physical damage absorption"
20000,20830,20050,12160,"Increases fire damage absorption"
20000,20830,20051,12226,"Increases fire damage absorption"
20000,20830,20052,12292,"Increases fire damage absorption"
20000,20830,20060,12358,"Increases lightning damage absorption"
20000,20830,20061,12434,"Increases lightning damage absorption"
20000,20830,20062,12510,"Increases lightning damage absorption"
20000,20830,20070,12586,"Increases magic damage absorption"
20000,20830,20071,12654,"Increases magic damage absorption"
20000,20830,20072,12722,"Increases magic damage absorption"
20000,20830,20080,12790,"Increases dark damage absorption"
20000,20830,20081,12856,"Increases dark damage absorption"
20000,20830,20082,12922,"Increases dark damage absorption"
20000,20830,20090,12988,"Slightly ups magic, lightning, fire and dark damage absorption"
20000,20830,20091,13114,"Slightly ups magic, lightning, fire and dark damage absorption"
20000,20830,20100,13240,"Increases bleed resistance"
20000,20830,20101,13294,"Increases bleed resistance"
20000,20830,20110,13348,"Increases poison resistance"
20000,20830,20111,13404,"Increases poison resistance"
20000,20830,20120,13460,"Increases curse resistance"
20000,20830,20130,13514,"Raises poison, bleed, curse and frost resist"
20000,20830,20131,13604,"Raises poison, bleed, curse and frost resist"
20000,20830,20140,13694,"Slows equipment degradation"
20000,20830,20141,13750,"Slows equipment degradation"
20000,20830,20142,13806,"Slows equipment degradation"
20000,20830,20150,13862,"Increases intelligence"
20000,20830,20160,13908,"Increases faith"
20000,20830,20170,13940,"Boosts attacks when HP is low"
20000,20830,20180,14000,"Increases damage absorption when HP is low"
20000,20830,20190,14086,"Increases poise"
20000,20830,20191,14118,"Increases poise"
20000,20830,20192,14150,"Increases poise"
20000,20830,20200,14182,"Strengthens thrust weapon counter attacks"
20000,20830,20210,14266,"Lose nothing upon death, but ring breaks"
20000,20830,20220,14348,"Breaks on death, but nothing lost, nullifies curse"
20000,20830,20230,14450,"Boosts sorceries"
20000,20830,20231,14484,"Greatly boosts sorceries"
20000,20830,20240,14534,"Boosts pyromancies"
20000,20830,20241,14572,"Greatly boosts pyromancies"
20000,20830,20250,14626,"Boosts miracles"
20000,20830,20251,14658,"Greatly boosts miracles"
20000,20830,20270,14706,"Extends length of spell effect"
20000,20830,20271,14768,"Extends length of spell effect"
20000,20830,20272,14830,"Extends length of spell effect"
20000,20830,20280,14892,"Shortens spell casting time"
20000,20830,20281,14948,"Shortens spell casting time"
20000,20830,20282,15004,"Shortens spell casting time"
20000,20830,20290,15060,"Masks the sounds of its wearer"
20000,20830,20300,15122,"Reduces spell FP consumption, but also lowers HP"
20000,20830,20310,15220,"Allows attunement of additional spells"
20000,20830,20320,15298,"Allows attunement of additional spells"
20000,20830,20330,15376,"Adds many slots for attunement"
20000,20830,20340,15438,"Boosts miracles"
20000,20830,20350,15470,"Answer Dark Sun Gwyndolin's summoning"
20000,20830,20370,15546,"Extends the range of bows"
20000,20830,20380,15598,"Boosts critical attacks"
20000,20830,20390,15646,"Fallen foes are more likely to drop items"
20000,20830,20391,15730,"Fallen foes are more likely to drop items"
20000,20830,20392,15814,"Fallen foes are more likely to drop items"
20000,20830,20400,15898,"Fallen foes yield more souls"
20000,20830,20401,15956,"Fallen foes yield more souls"
20000,20830,20402,16014,"Fallen foes yield more souls"
20000,20830,20410,16072,"Gradually restores HP"
20000,20830,20420,16116,"Prevents damage from falling"
20000,20830,20430,16174,"Easier to be detected by enemies"
20000,20830,20440,16240,"Take the appearance of a phantom"
20000,20830,20450,16306,"Slightly boosts dexterity and obscures rolling"
20000,20830,20460,16400,"Increases strength"
20000,20830,20470,16438,"Increases dexterity"
20000,20830,20480,16478,"Enemies lose more stamina when guarding attacks"
20000,20830,20490,16574,"Increases magic attack but compromises damage absorption"
20000,20830,20500,16688,"Increases lightning attack but compromises damage absorption"
20000,20830,20510,16810,"Increases fire attack but compromises damage absorption"
20000,20830,20520,16922,"Increases dark attack but compromises damage absorption"
20000,20830,20530,17034,"Reduces stamina loss when blocking with shield"
20000,20830,20540,17128,"Lowering equip load increases attack"
20000,20830,20550,17202,"Increases VGR, END and VIT, but take more damage"
20000,20830,20560,17300,"Retain human appearance while Hollow"
20000,20830,20570,17374,"Sometimes deflects spells"
20000,20830,20580,17426,"Obscures wearer while far away"
20000,20830,20590,17488,"Absorb HP from each defeated foe"
20000,20830,20591,17554,"Absorb HP from each defeated foe"
20000,20830,20592,17620,"Absorb HP from each defeated foe"
20000,20830,20600,17686,"Receive double damage"
20000,20830,20610,17730,"Reduces Skill FP consumption"
20000,20830,20620,17788,"Recovers HP from critical attacks"
20000,20830,20630,17856,"Recovers FP from critical attacks"
20000,20830,20640,17924,"Boosts status effects"
20000,20830,20650,17968,"Boosts effective range of miracles"
20000,20830,20660,18038,"Boosts attacks when HP is full"
20000,20830,20670,18100,"Boosts damage absorption when HP is full"
20000,20830,20690,18182,"Hides the wearer from Dark Spirits at a distance"
20000,20830,20700,18280,"Increases HP restored with Estus Flask"
20000,20830,20710,18358,"Increases FP restored with Ashen Estus Flask"
20000,20830,20720,18448,"Boosts kick effect"
20000,20830,20730,18486,"Boosts rolling invincibility, at the cost of defense"
20000,20830,20740,18592,"Males can perform female actions and vice versa"
20000,20830,20750,18688,"Boosts attacks, as long as attacking persists"
20000,20830,20760,18780,"Boosts defense, as long as attacking persists"
20000,20830,20770,18872,"Boosts stamina recovery speed, as long as attacking persists"
20000,20830,20780,18994,"Boosts spells, as long as attacking persists"
20000,20830,20790,19084,"Recovers HP with successive attacks"
20000,20830,20800,19156,"Recovers CP with successive attacks"
20000,20830,20810,19228,"Adds extra damage with successive attacks"
20000,20830,20820,19312,"Increases drop rate with successive attacks"
20000,20830,20830,19400,"Reduces damage from backstabs"
