IdMin,IdMax,Index,TableOffset,Text 
1000,1020,1000,2440,"Depths"
1000,1020,1010,2454,"Undead Burg"
1000,1020,1011,2478,"Undead Parish"
1000,1020,1020,2506,"Firelink Shrine"
1100,1100,1100,2538,"Painted World of Ariamis"
1200,1201,1200,2588,"Darkroot Garden"
1200,1201,1201,2620,"Darkroot Basin"
1300,1321,1300,2650,"The Catacombs"
1300,1321,1310,2678,"Tomb of the Giants"
1300,1321,1320,2716,"The Great Hollow"
1300,1321,1321,2750,"Ash Lake"
1400,1411,1400,2768,"Blighttown"
1400,1411,1401,2790,"Quelaag's Domain"
1400,1411,1410,2824,"Demon Ruins"
1400,1411,1411,2848,"Lost Izalith"
1500,1510,1500,2874,"Sen's Fortress"
1500,1510,1510,2904,"Anor Londo"
1600,1602,1600,2926,"New Londo Ruins"
1600,1602,1601,2958,"The Abyss"
1600,1602,1602,2978,"Valley of Drakes"
1700,1701,1700,3012,"The Duke's Archives"
1700,1701,1701,3052,"Crystal Cave"
1800,1810,1800,3078,"Kiln of the First Flame"
1800,1810,1801,3126,"Firelink Altar"
1800,1810,1810,3156,"Northern Undead Asylum"
2000,2008,2000,3202,"Firelink Shrine"
2000,2008,2001,3234,"Sunlight Altar"
2000,2008,2002,3264,"Anor Londo"
2000,2008,2003,3286,"Chamber of the Princess"
2000,2008,2004,3334,"Darkmoon Tomb"
2000,2008,2005,3362,"The Abyss"
2000,2008,2006,3382,"Daughter of Chaos"
2000,2008,2007,3418,"Altar of the Gravelord"
2000,2008,2008,3464,"Stone Dragon"
3000,3020,3000,3490,"High Wall of Lothric"
3000,3020,3001,3532,"High Wall of Lothric"
3000,3020,3010,3574,"Lothric Castle"
3000,3020,3015,3604,"Consumed King's Garden"
3000,3020,3020,3650,"High Wall of Lothric"
3040,3040,3040,3692,"Grand Archives"
3100,3100,3100,3722,"Undead Settlement"
3200,3200,3200,3758,"Archdragon Peak"
3300,3305,3300,3790,"Road of Sacrifices"
3300,3305,3305,3828,"Farron Keep"
3500,3500,3500,3852,"Cathedral of the Deep"
3700,3705,3700,3896,"Irithyll of the Boreal Valley"
3700,3705,3705,3956,"Anor Londo"
3800,3805,3800,3978,"Catacombs of Carthus"
3800,3805,3805,4020,"Smouldering Lake"
3900,3905,3900,4054,"Irithyll Dungeon"
3900,3905,3905,4088,"Profaned Capital"
4000,4010,4000,4122,"Cemetery of Ash"
4000,4010,4005,4154,"Firelink Shrine"
4000,4010,4010,4186,"Untended Graves"
4100,4100,4100,4218,"Kiln of the First Flame"
11000,11020,11000,4266, 
11000,11020,11010,4270, 
11000,11020,11011,4274, 
11000,11020,11020,4278, 
11100,11100,11100,4282, 
11200,11201,11200,4286, 
11200,11201,11201,4290, 
11300,11321,11300,4294, 
11300,11321,11310,4298, 
11300,11321,11320,4302, 
11300,11321,11321,4306, 
11400,11411,11400,4310, 
11400,11411,11401,4314, 
11400,11411,11410,4318, 
11400,11411,11411,4322, 
11500,11510,11500,4326, 
11500,11510,11510,4330, 
11600,11602,11600,4334, 
11600,11602,11601,4338, 
11600,11602,11602,4342, 
11700,11701,11700,4346, 
11700,11701,11701,4350, 
11800,11810,11800,4354, 
11800,11810,11801,4358, 
11800,11810,11810,4362, 
