IdMin,IdMax,Index,TableOffset,Text 
400000,400000,400000,67920,"Standard arrows used with bows. Simultaneously equip up to two types of arrows, and switch between them as needed."
400100,400100,400100,68152,"Shoot arrows with burning tips dealing fire damage. Simultaneously equip up to two types of arrows, and switch between them as needed."
400200,400200,400200,68424,"Arrows with poisoned tips. Inflict poison damage that gradually wears down foes."
400300,400300,400300,68588,"Large, more powerful arrows with a shorter range due to their weight. Simultaneously equip up to two types of arrows, and switch between them as needed."
400400,400400,400400,68896,"Red feathered arrows used by hunters. Their long range makes them ideal for distant targets. Simultaneously equip up to two types of arrows, and switch between them as needed."
400500,400500,400500,69250,"Magical arrows said to have been used by the Darkmoon Knights. Imbued with a silver light, these arrows inflict magic damage. It is said that long ago the God of the Darkmoon Gwyndolin wielded these arrows with a matching golden bow."
400600,400600,400600,69720,"Inexpensive wooden arrows. Weaker arrows that can be easily purchased in bulk. Simultaneously equip up to two types of arrows, and switch between them as needed."
400700,400700,400700,70046,"Ritual arrows said to have been used by savage hunters. Inflict dark damage. It is said that these arrows scrape out death from their targets, but savages are known to tell tall tales."
402000,402000,402000,70418,"Large spear-like arrows created by the giant blacksmith of the gods. Can only be used with greatbows. These large arrows were said to have been used by dragon hunters during the age of the gods. Easily pierces human flesh."
402200,402200,402200,70868,"Large spear-like arrows enveloped in lightning created by the giant blacksmith of the gods. Can only be used with greatbows. Lightning has been a weapon of dragonslayers ever since the time of Gwyn, the First Lord."
402300,402300,402300,71302,"Large arrows used to destroy giant horned oni in an eastern land. Can only be used with greatbows. Made from the feathers of an aged crow, it is said that these arrows fly as straight as their master."
404000,404000,404000,71708,"Standard bolts used with crossbows. Simultaneously equip up to two types of bolts, and switch between them as needed."
404100,404100,404100,71946,"Large, more powerful bolts with a shorter range due to their weight. Simultaneously equip up to two types of bolts, and switch between them as needed."
404200,404200,404200,72250,"Red feathered bolts used by snipers of Carim. Their long range makes them ideal for distant targets. Though typically used with Sniper Crossbows in Carim, these arrows can still be used with any kind of crossbow."
404300,404300,404300,72678,"Inexpensive wooden bolts. Weaker bolts that can be easily purchased in bulk. Simultaneously equip up to two types of bolts, and switch between them as needed."
404400,404400,404400,72998,"Bolts imbued with lightning created by the giant blacksmith of the gods. However, the gods never used crossbows. These bolts are likely artifacts of the dragonless era, when the pact between gods and humans was upheld."
404500,404500,404500,73438,"Bolts that explode immediately after being shot. Makes unusual shots possible, and releases splinters that cause immense bleeding. These are, after all, prototypes created by the weapon craftsman Edmond. You get what you pay for."
404600,404600,404600,73902,"Bolts that explode on impact. Deals area fire damage in the immediate vicinity. Due to the risk of detonation, the amount of bolts the user can carry is greatly limited. These are, after all, prototypes created by the weapon craftsman Edmond. You get what you pay for."
1000000,1000000,1000000,74444,"Standard small dagger. Small daggers lack power or reach, but can deal quick consecutive hits due to their light weight. Highly effective when used for critical hits, such as after parrying or attacking from behind. Skill: Quickstep Instantly step behind or around the side of foes. Especially effective when locked on to target."
1000100,1000100,1000100,75108,"Standard small dagger. Small daggers lack power or reach, but can deal quick consecutive hits due to their light weight. Highly effective when used for critical hits, such as after parrying or attacking from behind. Skill: Quickstep Instantly step behind or around the side of foes. Especially effective when locked on to target."
1000200,1000200,1000200,75772,"Standard small dagger. Small daggers lack power or reach, but can deal quick consecutive hits due to their light weight. Highly effective when used for critical hits, such as after parrying or attacking from behind. Skill: Quickstep Instantly step behind or around the side of foes. Especially effective when locked on to target."
1000300,1000300,1000300,76436,"Standard small dagger. Small daggers lack power or reach, but can deal quick consecutive hits due to their light weight. Highly effective when used for critical hits, such as after parrying or attacking from behind. Skill: Quickstep Instantly step behind or around the side of foes. Especially effective when locked on to target."
1000400,1000400,1000400,77100,"Standard small dagger. Small daggers lack power or reach, but can deal quick consecutive hits due to their light weight. Highly effective when used for critical hits, such as after parrying or attacking from behind. Skill: Quickstep Instantly step behind or around the side of foes. Especially effective when locked on to target."
1000500,1000500,1000500,77764,"Standard small dagger. Small daggers lack power or reach, but can deal quick consecutive hits due to their light weight. Highly effective when used for critical hits, such as after parrying or attacking from behind. Skill: Quickstep Instantly step behind or around the side of foes. Especially effective when locked on to target."
1000600,1000600,1000600,78428,"Standard small dagger. Small daggers lack power or reach, but can deal quick consecutive hits due to their light weight. Highly effective when used for critical hits, such as after parrying or attacking from behind. Skill: Quickstep Instantly step behind or around the side of foes. Especially effective when locked on to target."
1000700,1000700,1000700,79092,"Standard small dagger. Small daggers lack power or reach, but can deal quick consecutive hits due to their light weight. Highly effective when used for critical hits, such as after parrying or attacking from behind. Skill: Quickstep Instantly step behind or around the side of foes. Especially effective when locked on to target."
1000800,1000800,1000800,79756,"Standard small dagger. Small daggers lack power or reach, but can deal quick consecutive hits due to their light weight. Highly effective when used for critical hits, such as after parrying or attacking from behind. Skill: Quickstep Instantly step behind or around the side of foes. Especially effective when locked on to target."
1000900,1000900,1000900,80420,"Standard small dagger. Small daggers lack power or reach, but can deal quick consecutive hits due to their light weight. Highly effective when used for critical hits, such as after parrying or attacking from behind. Skill: Quickstep Instantly step behind or around the side of foes. Especially effective when locked on to target."
1001000,1001000,1001000,81084,"Standard small dagger. Small daggers lack power or reach, but can deal quick consecutive hits due to their light weight. Highly effective when used for critical hits, such as after parrying or attacking from behind. Skill: Quickstep Instantly step behind or around the side of foes. Especially effective when locked on to target."
1001100,1001100,1001100,81748,"Standard small dagger. Small daggers lack power or reach, but can deal quick consecutive hits due to their light weight. Highly effective when used for critical hits, such as after parrying or attacking from behind. Skill: Quickstep Instantly step behind or around the side of foes. Especially effective when locked on to target."
1001200,1001200,1001200,82412,"Standard small dagger. Small daggers lack power or reach, but can deal quick consecutive hits due to their light weight. Highly effective when used for critical hits, such as after parrying or attacking from behind. Skill: Quickstep Instantly step behind or around the side of foes. Especially effective when locked on to target."
1001300,1001300,1001300,83076,"Standard small dagger. Small daggers lack power or reach, but can deal quick consecutive hits due to their light weight. Highly effective when used for critical hits, such as after parrying or attacking from behind. Skill: Quickstep Instantly step behind or around the side of foes. Especially effective when locked on to target."
1001400,1001400,1001400,83740,"Standard small dagger. Small daggers lack power or reach, but can deal quick consecutive hits due to their light weight. Highly effective when used for critical hits, such as after parrying or attacking from behind. Skill: Quickstep Instantly step behind or around the side of foes. Especially effective when locked on to target."
1001500,1001500,1001500,84404,"Standard small dagger. Small daggers lack power or reach, but can deal quick consecutive hits due to their light weight. Highly effective when used for critical hits, such as after parrying or attacking from behind. Skill: Quickstep Instantly step behind or around the side of foes. Especially effective when locked on to target."
1010000,1010000,1010000,85068,"A wide single-edged shortsword. Primarily a slicing weapon, but its blade is crafted to cause bleeding, making it a favorite of lowly thieves and bandits. Skill: Quickstep Instantly step behind or around the side of foes. Especially effective when locked on to target."
1010100,1010100,1010100,85610,"A wide single-edged shortsword. Primarily a slicing weapon, but its blade is crafted to cause bleeding, making it a favorite of lowly thieves and bandits. Skill: Quickstep Instantly step behind or around the side of foes. Especially effective when locked on to target."
1010200,1010200,1010200,86152,"A wide single-edged shortsword. Primarily a slicing weapon, but its blade is crafted to cause bleeding, making it a favorite of lowly thieves and bandits. Skill: Quickstep Instantly step behind or around the side of foes. Especially effective when locked on to target."
1010300,1010300,1010300,86694,"A wide single-edged shortsword. Primarily a slicing weapon, but its blade is crafted to cause bleeding, making it a favorite of lowly thieves and bandits. Skill: Quickstep Instantly step behind or around the side of foes. Especially effective when locked on to target."
