IdMin,IdMax,Index,TableOffset,Text 
90000,90000,90000,69264,"Torch"
110000,110000,110000,69276,"Fists"
400000,400000,400000,69288,"Standard Arrow"
400100,400100,400100,69318,"Fire Arrow"
400200,400200,400200,69340,"Poison Arrow"
400300,400300,400300,69366,"Large Arrow"
400400,400400,400400,69390,"Feather Arrow"
400500,400500,400500,69418,"Moonlight Arrow"
400600,400600,400600,69450,"Wood Arrow"
400700,400700,400700,69472,"Dark Arrow"
402000,402000,402000,69494,"Dragonslayer Greatarrow"
402200,402200,402200,69542,"Dragonslayer Lightning Arrow"
402300,402300,402300,69600,"Onislayer Greatarrow"
404000,404000,404000,69642,"Standard Bolt"
404100,404100,404100,69670,"Heavy Bolt"
404200,404200,404200,69692,"Sniper Bolt"
404300,404300,404300,69716,"Wood Bolt"
404400,404400,404400,69736,"Lightning Bolt"
404500,404500,404500,69766,"Splintering Bolt"
404600,404600,404600,69800,"Exploding Bolt"
1000000,1000000,1000000,69830,"Dagger"
1000100,1000100,1000100,69844,"Heavy Dagger"
1000200,1000200,1000200,69870,"Sharp Dagger"
1000300,1000300,1000300,69896,"Refined Dagger"
1000400,1000400,1000400,69926,"Simple Dagger"
1000500,1000500,1000500,69954,"Crystal Dagger"
1000600,1000600,1000600,69984,"Fire Dagger"
1000700,1000700,1000700,70008,"Chaos Dagger"
1000800,1000800,1000800,70034,"Lightning Dagger"
1000900,1000900,1000900,70068,"Deep Dagger"
1001000,1001000,1001000,70092,"Dark Dagger"
1001100,1001100,1001100,70116,"Poison Dagger"
1001200,1001200,1001200,70144,"Blood Dagger"
1001300,1001300,1001300,70170,"Raw Dagger"
1001400,1001400,1001400,70192,"Blessed Dagger"
1001500,1001500,1001500,70222,"Hollow Dagger"
1010000,1010000,1010000,70250,"Bandit's Knife"
1010100,1010100,1010100,70280,"Heavy Bandit's Knife"
1010200,1010200,1010200,70322,"Sharp Bandit's Knife"
1010300,1010300,1010300,70364,"Refined Bandit's Knife"
1010400,1010400,1010400,70410,"Simple Bandit's Knife"
1010500,1010500,1010500,70454,"Crystal Bandit's Knife"
1010600,1010600,1010600,70500,"Fire Bandit's Knife"
1010700,1010700,1010700,70540,"Chaos Bandit's Knife"
1010800,1010800,1010800,70582,"Lightning Bandit's Knife"
1010900,1010900,1010900,70632,"Deep Bandit's Knife"
1011000,1011000,1011000,70672,"Dark Bandit's Knife"
1011100,1011100,1011100,70712,"Poison Bandit's Knife"
1011200,1011200,1011200,70756,"Blood Bandit's Knife"
1011300,1011300,1011300,70798,"Raw Bandit's Knife"
1011400,1011400,1011400,70836,"Blessed Bandit's Knife"
1011500,1011500,1011500,70882,"Hollow Bandit's Knife"
1020000,1020000,1020000,70926,"Parrying Dagger"
1020100,1020100,1020100,70958,"Heavy Parrying Dagger"
1020200,1020200,1020200,71002,"Sharp Parrying Dagger"
1020300,1020300,1020300,71046,"Refined Parrying Dagger"
1020400,1020400,1020400,71094,"Simple Parrying Dagger"
1020500,1020500,1020500,71140,"Crystal Parrying Dagger"
1020600,1020600,1020600,71188,"Fire Parrying Dagger"
1020700,1020700,1020700,71230,"Chaos Parrying Dagger"
1020800,1020800,1020800,71274,"Lightning Parrying Dagger"
1020900,1020900,1020900,71326,"Deep Parrying Dagger"
1021000,1021000,1021000,71368,"Dark Parrying Dagger"
1021100,1021100,1021100,71410,"Poison Parrying Dagger"
1021200,1021200,1021200,71456,"Blood Parrying Dagger"
1021300,1021300,1021300,71500,"Raw Parrying Dagger"
1021400,1021400,1021400,71540,"Blessed Parrying Dagger"
1021500,1021500,1021500,71588,"Hollow Parrying Dagger"
1040000,1040000,1040000,71634,"Rotten Ghru Dagger"
1040100,1040100,1040100,71672,"Heavy Rotten Ghru Dagger"
1040200,1040200,1040200,71722,"Sharp Rotten Ghru Dagger"
1040300,1040300,1040300,71772,"Refined Rotten Ghru Dagger"
1040400,1040400,1040400,71826,"Simple Rotten Ghru Dagger"
1040500,1040500,1040500,71878,"Crystal Rotten Ghru Dagger"
1040600,1040600,1040600,71932,"Fire Rotten Ghru Dagger"
1040700,1040700,1040700,71980,"Chaos Rotten Ghru Dagger"
1040800,1040800,1040800,72030,"Lightning Rotten Ghru Dagger"
1040900,1040900,1040900,72088,"Deep Rotten Ghru Dagger"
1041000,1041000,1041000,72136,"Dark Rotten Ghru Dagger"
1041100,1041100,1041100,72184,"Poison Rotten Ghru Dagger"
1041200,1041200,1041200,72236,"Blood Rotten Ghru Dagger"
1041300,1041300,1041300,72286,"Raw Rotten Ghru Dagger"
1041400,1041400,1041400,72332,"Blessed Rotten Ghru Dagger"
1041500,1041500,1041500,72386,"Hollow Rotten Ghru Dagger"
1050000,1050000,1050000,72438,"Blood-stained Short Sword"
1050100,1050100,1050100,72490,"Heavy Blood-stained Short Sword"
1050200,1050200,1050200,72554,"Sharp Blood-stained Short Sword"
1050300,1050300,1050300,72618,"Refined Blood-stained Short Sword"
1050400,1050400,1050400,72686,"Simpleton Blood-stained Short Sword"
1050500,1050500,1050500,72758,"Crystal Blood-stained Short Sword"
1050600,1050600,1050600,72826,"Fire Blood-stained Short Sword"
1050700,1050700,1050700,72888,"Chaos Blood-stained Short Sword"
1050800,1050800,1050800,72952,"Lightning Blood-stained Short Sword"
1050900,1050900,1050900,73024,"Deep Blood-stained Short Sword"
1051000,1051000,1051000,73086,"Dark Blood-stained Short Sword"
1051100,1051100,1051100,73148,"Poison Blood-stained Short Sword"
1051200,1051200,1051200,73214,"Blood Blood-stained Short Sword"
1051300,1051300,1051300,73278,"Raw Blood-stained Short Sword"
1051400,1051400,1051400,73338,"Blessed Blood-stained Short Sword"
1051500,1051500,1051500,73406,"Hollow Blood-stained Short Sword"
1060000,1060000,1060000,73472,"Harpe"
1060100,1060100,1060100,73484,"Heavy Harpe"
1060200,1060200,1060200,73508,"Sharp Harpe"
1060300,1060300,1060300,73532,"Refined Harpe"
1060400,1060400,1060400,73560,"Simple Harpe"
1060500,1060500,1060500,73586,"Crystal Harpe"
1060600,1060600,1060600,73614,"Fire Harpe"
1060700,1060700,1060700,73636,"Chaos Harpe"
1060800,1060800,1060800,73660,"Lightning Harpe"
1060900,1060900,1060900,73692,"Deep Harpe"
