IdMin,IdMax,Index,TableOffset,Text 
10000,10000,10000,15352,"Distinctively shaped helm worn by the Knights of Catarina. Outside Catarina, it is often ridiculed for its onion-like shape, infuriating the proud knights, but the masterfully forged curved design makes it very effective for parrying."
11000,11000,11000,15826,"Distinctively shaped armor worn by the Knights of Catarina. Outside Catarina, it is often ridiculed for its onion-like shape, infuriating the proud knights, but the masterfully forged curved design makes it very effective for parrying."
12000,12000,12000,16302,"Distinctively shaped gauntlets worn by the Knights of Catarina. Outside Catarina, they are often ridiculed for their onion-like shape, infuriating the proud knights, but the masterfully forged curved design makes it very effective for parrying."
13000,13000,13000,16796,"Distinctively shaped leggings worn by the Knights of Catarina. Outside Catarina, they are often ridiculed for their onion-like shape, infuriating the proud knights, but the masterfully forged curved design makes it very effective for parrying."
20000,20000,20000,17288,"Helm of Leeroy, Paladin of the Catacombs. Long ago, the Way of White produced its first Undead, a paladin in golden armor. With the legendary treasures Grant and Sanctus, Leeroy set out for Lordran, Land of the Gods, in the first Undead mission of the Way of White."
21000,21000,21000,17824,"Armor of Leeroy, Paladin of the Catacombs. Long ago, the Way of White produced its first Undead, a paladin in golden armor. With the legendary treasures Grant and Sanctus, Leeroy set out for Lordran, Land of the Gods, in the first Undead mission of the Way of White."
22000,22000,22000,18362,"Gauntlets of Leeroy, Paladin of the Catacombs. Long ago, the Way of White produced its first Undead, a paladin in golden armor. With the legendary treasures Grant and Sanctus, Leeroy set out for Lordran, Land of the Gods, in the first Undead mission of the Way of White."
23000,23000,23000,18908,"Leggings of Leeroy, Paladin of the Catacombs. Long ago, the Way of White produced its first Undead, a paladin in golden armor. With the legendary treasures Grant and Sanctus, Leeroy set out for Lordran, Land of the Gods, in the first Undead mission of the Way of White."
40000,40000,40000,19452,"Mask of the Darkwraiths, former knights of New Londo who descended into Dark. Some say the skeletal mask of an ancient Darkwraith is partially fused with the flesh of its face."
41000,41000,41000,19810,"Armor of the Darkwraiths, former knights of New Londo who descended into Dark. Their armor transformed, and remains a symbol of the Dark servants and their diabolical art of Lifedrain."
