IdMin,IdMax,Index,TableOffset,Text 
1000,1000,1000,27736,"Shaved"
1100,1100,1100,27750,"Receding"
1200,1200,1200,27768,"Short"
1300,1300,1300,27780,"Swept Back"
1400,1400,1400,27802,"Ponytail"
1500,1500,1500,27820,"Wild"
1600,1600,1600,27830,"Parted Center"
1700,1700,1700,27858,"Semi-Long"
1800,1800,1800,27878,"Curly"
1900,1900,1900,27890,"Bobbed"
2000,2000,2000,27904,"Male 11"
2100,2100,2100,27920,"Male 12"
2200,2200,2200,27936,"Male 13"
2300,2300,2300,27952,"Male 14"
2400,2400,2400,27968,"Male 15"
2500,2500,2500,27984,"Male 16"
2600,2600,2600,28000,"Male 17"
2700,2700,2700,28016,"Male 18"
2800,2800,2800,28032,"Male 19"
2900,2900,2900,28048,"Male 20"
3000,3000,3000,28064,"Shaved"
3100,3100,3100,28078,"Very Short"
3200,3200,3200,28100,"Wave"
3300,3300,3300,28110,"Straight A"
3400,3400,3400,28132,"Straight B"
3500,3500,3500,28154,"Ponytail A"
3600,3600,3600,28176,"Ponytail B"
3700,3700,3700,28198,"Pigtails"
3800,3800,3800,28216,"Bun"
3900,3900,3900,28224,"Braided"
4000,4000,4000,28240,"Female 11"
4100,4100,4100,28260,"Female 12"
4200,4200,4200,28280,"Female 13"
4300,4300,4300,28300,"Female 14"
4400,4400,4400,28320,"Female 15"
4500,4500,4500,28340,"Female 16"
4600,4600,4600,28360,"Female 17"
4700,4700,4700,28380,"Female 18"
4800,4800,4800,28400,"Female 19"
4900,4900,4900,28420,"Female 20"
5000,5000,5000,28440,"Travel Hairstyle"
10000,10005,10000,28474,"Catarina Helm"
10000,10005,10001,28502,"Catarina Helm +1"
10000,10005,10002,28536,"Catarina Helm +2"
10000,10005,10003,28570,"Catarina Helm +3"
10000,10005,10004,28604,"Catarina Helm +4"
10000,10005,10005,28638,"Catarina Helm +5"
11000,11005,11000,28672,"Catarina Armor"
11000,11005,11001,28702,"Catarina Armor +1"
11000,11005,11002,28738,"Catarina Armor +2"
11000,11005,11003,28774,"Catarina Armor +3"
11000,11005,11004,28810,"Catarina Armor +4"
11000,11005,11005,28846,"Catarina Armor +5"
12000,12005,12000,28882,"Catarina Gauntlets"
12000,12005,12001,28920,"Catarina Gauntlets +1"
12000,12005,12002,28964,"Catarina Gauntlets +2"
12000,12005,12003,29008,"Catarina Gauntlets +3"
12000,12005,12004,29052,"Catarina Gauntlets +4"
12000,12005,12005,29096,"Catarina Gauntlets +5"
13000,13005,13000,29140,"Catarina Leggings"
13000,13005,13001,29176,"Catarina Leggings +1"
13000,13005,13002,29218,"Catarina Leggings +2"
