IdMin,IdMax,Index,TableOffset,Text 
3000,3130,3000,11912,"Soul Arrow"
3000,3130,3010,11934,"Great Soul Arrow"
3000,3130,3020,11968,"Heavy Soul Arrow"
3000,3130,3030,12002,"Great Heavy Soul Arrow"
3000,3130,3040,12048,"Homing Soulmass"
3000,3130,3050,12080,"Homing Crystal Soulmass"
3000,3130,3060,12128,"Soul Spear"
3000,3130,3070,12150,"Crystal Soul Spear"
3000,3130,3100,12188,"Magic Weapon"
3000,3130,3110,12214,"Great Magic Weapon"
3000,3130,3120,12252,"Crystal Magic Weapon"
3300,3310,3300,12294,"Magic Shield"
3300,3310,3310,12320,"Strong Magic Shield"
3400,3410,3400,12360,"Hidden Weapon"
3400,3410,3410,12388,"Hidden Body"
3500,3560,3500,12412,"Cast Light"
3500,3560,3510,12434,"Hush"
3500,3560,3520,12444,"Aural Decoy"
3500,3560,3530,12468,"Repair"
3500,3560,3540,12482,"Fall Control"
3500,3560,3550,12508,"Chameleon"
3600,3610,3600,12528,"Resist Curse"
3600,3610,3610,12554,"Remedy"
3700,3820,3700,12568,"White Dragon Breath"
3700,3820,3740,12608,"Soul Greatsword"
3700,3820,3800,12640,"Soul Dart"
4000,4110,4000,12660,"Fireball"
4000,4110,4010,12678,"Fire Orb"
4000,4110,4020,12696,"Great Fireball"
4000,4110,4030,12726,"Firestorm"
4000,4110,4040,12746,"Fire Tempest"
4000,4110,4050,12772,"Fire Surge"
4000,4110,4060,12794,"Fire Whip"
4000,4110,4100,12814,"Combustion"
4000,4110,4110,12836,"Great Combustion"
4200,4220,4200,12870,"Poison Mist"
4200,4220,4210,12894,"Toxic Mist"
4200,4220,4220,12916,"Acid Surge"
4300,4320,4300,12938,"Iron Flesh"
4300,4320,4310,12960,"Flash Sweat"
4350,4360,4350,12984,"Undead Rapport"
4350,4360,4360,13014,"Undead Rapport"
4400,4400,4400,13044,"Power Within"
4500,4580,4500,13070,"Great Chaos Fireball"
4500,4580,4510,13112,"Chaos Storm"
4500,4580,4520,13136,"Chaos Fire Whip"
5000,5080,5000,13168,"Heal"
5000,5080,5010,13178,"Great Heal"
5000,5080,5020,13200,"Great Heal Excerpt"
5000,5080,5030,13238,"Soothing Sunlight"
5000,5080,5040,13274,"Replenishment"
5000,5080,5050,13302,"Bountiful Sunlight"
5100,5130,5100,13340,"Gravelord Sword Dance"
5100,5130,5110,13384,"Gravelord Greatsword Dance"
5200,5210,5200,13438,"Denial"
5200,5210,5210,13452,"Homeward"
5300,5320,5300,13470,"Force"
5300,5320,5310,13482,"Wrath of the Gods"
5300,5320,5320,13518,"Emit Force"
5400,5410,5400,13540,"Seek Guidance"
5500,5560,5500,13568,"Lightning Spear"
5500,5560,5510,13600,"Great Lightning Spear"
5500,5560,5520,13644,"Sunlight Spear"
5600,5630,5600,13674,"Magic Barrier"
5600,5630,5610,13702,"Great Magic Barrier"
5600,5630,5630,13742,"Sacred Oath"
5700,5710,5700,13766,"Karmic Justice"
5800,5810,5800,13796,"Tranquil Walk of Peace"
5800,5810,5810,13842,"Vow of Silence"
5900,5910,5900,13872,"Sunlight Blade"
5900,5910,5910,13902,"Darkmoon Blade"
1200000,1200000,1200000,13932,"Farron Dart"
1210000,1210000,1210000,13956,"Great Farron Dart"
1300000,1300000,1300000,13992,"Soul Arrow"
1301000,1301000,1301000,14014,"Great Soul Arrow"
1302000,1302000,1302000,14048,"Heavy Soul Arrow"
1303000,1303000,1303000,14082,"Great Heavy Soul Arrow"
1304000,1304000,1304000,14128,"Homing Soulmass"
1305000,1305000,1305000,14160,"Homing Crystal Soulmass"
1306000,1306000,1306000,14208,"Soul Spear"
1307000,1307000,1307000,14230,"Crystal Soul Spear"
1308000,1308000,1308000,14268,"Deep Soul"
1309000,1309000,1309000,14288,"Great Deep Soul"
1310000,1310000,1310000,14320,"Magic Weapon"
1311000,1311000,1311000,14346,"Great Magic Weapon"
1312000,1312000,1312000,14384,"Crystal Magic Weapon"
1330000,1330000,1330000,14426,"Magic Shield"
1331000,1331000,1331000,14452,"Great Magic Shield"
1340000,1340000,1340000,14490,"Hidden Weapon"
1341000,1341000,1341000,14518,"Hidden Body"
1350000,1350000,1350000,14542,"Cast Light"
1353000,1353000,1353000,14564,"Repair"
1354000,1354000,1354000,14578,"Spook"
1355000,1355000,1355000,14590,"Chameleon"
1356000,1356000,1356000,14610,"Aural Decoy"
1370000,1370000,1370000,14634,"White Dragon Breath"
1372000,1372000,1372000,14674,"Farron Hail"
1373000,1373000,1373000,14698,"Crystal Hail"
1374000,1374000,1374000,14724,"Soul Greatsword"
1375000,1375000,1375000,14756,"Farron Flashsword"
1603000,1603000,1603000,14792,"Affinity"
1613000,1613000,1613000,14810,"Dark Edge"
1620000,1620000,1620000,14830,"Soul Stream"
1651000,1651000,1651000,14854,"Twisted Wall of Light"
1740000,1740000,1740000,14898,"Pestilent Mercury"
2400000,2400000,2400000,14934,"Fireball"
2402000,2402000,2402000,14952,"Fire Orb"
2403000,2403000,2403000,14970,"Firestorm"
2405000,2405000,2405000,14990,"Fire Surge"
2406000,2406000,2406000,15012,"Fire Whip"
2407000,2407000,2407000,15032,"Black Serpent"
2410000,2410000,2410000,15060,"Combustion"
2411000,2411000,2411000,15082,"Great Combustion"
2420000,2420000,2420000,15116,"Poison Mist"
2421000,2421000,2421000,15140,"Toxic Mist"
2422000,2422000,2422000,15162,"Acid Surge"
2430000,2430000,2430000,15184,"Iron Flesh"
2431000,2431000,2431000,15206,"Flash Sweat"
2435000,2435000,2435000,15230,"Carthus Flame Arc"
2436000,2436000,2436000,15266,"Rapport"
2440000,2440000,2440000,15282,"Power Within"
2450000,2450000,2450000,15308,"Great Chaos Fire Orb"
2451000,2451000,2451000,15350,"Chaos Storm"
2452000,2452000,2452000,15374,"Fire Whip"
2453000,2453000,2453000,15394,"Black Flame"
2455000,2455000,2455000,15418,"Profaned Flame"
2456000,2456000,2456000,15448,"Chaos Bed Vestiges"
2470000,2470000,2470000,15486,"Warmth"
2562000,2562000,2562000,15500,"Profuse Sweat"
2600000,2600000,2600000,15528,"Dark Orb"
2610000,2610000,2610000,15546,"Black Fire Orb"
2620000,2620000,2620000,15576,"Bursting Fireball"
2630000,2630000,2630000,15612,"Boulder Heave"
2640000,2640000,2640000,15640,"Sacred Flame"
2650000,2650000,2650000,15666,"Carthus Beacon"
3490000,3490000,3490000,15696,"Heal Aid"
3500000,3500000,3500000,15714,"Heal"
3501000,3501000,3501000,15724,"Med Heal"
3502000,3502000,3502000,15742,"Great Heal"
3503000,3503000,3503000,15764,"Soothing Sunlight"
3504000,3504000,3504000,15800,"Replenishment"
3505000,3505000,3505000,15828,"Bountiful Sunlight"
3507000,3507000,3507000,15866,"Bountiful Light"
3508000,3508000,3508000,15898,"Caressing Tears"
3513000,3513000,3513000,15930,"Morbid Temptation"
3520000,3520000,3520000,15966,"Tears of Denial"
3521000,3521000,3521000,15998,"Homeward"
3530000,3530000,3530000,16016,"Force"
3531000,3531000,3531000,16028,"Wrath of the Gods"
3532000,3532000,3532000,16064,"Emit Force"
3540000,3540000,3540000,16086,"Seek Guidance"
3550000,3550000,3550000,16114,"Lightning Spear"
3551000,3551000,3551000,16146,"Great Lightning Spear"
3552000,3552000,3552000,16190,"Sunlight Spear"
3553000,3553000,3553000,16220,"Lightning Storm"
3554000,3554000,3554000,16252,"Gnaw"
3555000,3555000,3555000,16262,"Dorhys' Gnawing"
3560000,3560000,3560000,16294,"Magic Barrier"
3561000,3561000,3561000,16322,"Great Magic Barrier"
3563000,3563000,3563000,16362,"Sacred Oath"
3581000,3581000,3581000,16386,"Vow of Silence"
3590000,3590000,3590000,16416,"Lightning Blade"
3591000,3591000,3591000,16448,"Darkmoon Blade"
3640000,3640000,3640000,16478,"Dark Blade"
3700000,3700000,3700000,16500,"Dead Again"
3710000,3710000,3710000,16522,"Lightning Stake"
3720000,3720000,3720000,16554,"Divine Pillars of Light"
3730000,3730000,3730000,16602,"Lifehunt Scythe"
3750000,3750000,3750000,16634,"Dorris Swarm"
3760000,3760000,3760000,16660,"Blessed Weapon"
3770000,3770000,3770000,16690,"Deep Protection"
3780000,3780000,3780000,16722,"Atonement"
