IdMin,IdMax,Index,TableOffset,Text 
3000,3070,3000,6808,"Fire soul arrow"
3000,3070,3010,6840,"Fire strong soul arrow"
3000,3070,3020,6886,"Fire heavy soul arrow"
3000,3070,3030,6930,"Fire strong heavy soul arrow"
3000,3070,3040,6988,"Fire homing soulmass"
3000,3070,3050,7030,"Fire homing crystal soulmass"
3000,3070,3060,7088,"Fire piercing soul spear"
3000,3070,3070,7138,"Fire piercing crystal soul spear"
3100,3120,3100,7204,"Magic augmentation: right weapon"
3100,3120,3110,7270,"High magic augmentation: right weapon"
3100,3120,3120,7346,"High magic + crystallization: right weapon"
3300,3310,3300,7432,"Magic augmentation: left shield"
3300,3310,3310,7496,"High magic augmentation: left shield"
3400,3410,3400,7570,"Turn right weapon invisible"
3400,3410,3410,7626,"Turn body nearly invisible"
3500,3550,3500,7680,"Cast a bright light upon surroundings"
3500,3550,3510,7756,"Mask all noises of caster"
3500,3550,3520,7808,"Create sound originating in distance"
3500,3550,3530,7882,"Repair equipped weapons and armor"
3500,3550,3540,7950,"Reduce damage and sound from fall"
3500,3550,3550,8018,"Transform into something inconspicuous"
3600,3610,3600,8096,"Sacrifice humanity to undo curse"
3600,3610,3610,8162,"Undo all bleeding and poison"
3700,3700,3700,8220,"Emit crystal breath of Seath the Scaleless"
4000,4060,4000,8306,"Hurl fireball"
4000,4060,4010,8334,"Hurl fire orb"
4000,4060,4020,8362,"Hurl giant fireball"
4000,4060,4030,8402,"Erect fire pillars in vicinity"
4000,4060,4040,8464,"Erect giant fire pillars in vicinity"
4000,4060,4050,8538,"Create a surge of flame from palm of hand"
4000,4060,4060,8622,"Sweep foes with fire whip"
4100,4110,4100,8674,"Create powerful flame in hand"
4100,4110,4110,8734,"Create powerful, giant flame in hand"
4200,4220,4200,8808,"Create poison mist"
4200,4220,4210,8846,"Create intense poison mist"
4200,4220,4220,8900,"Emit acid which corrodes weapons and armor"
4300,4320,4300,8986,"Iron flesh boosts defence and resilience"
4300,4320,4310,9068,"Intense sweating reduces flame damage"
4360,4360,4360,9144,"Charm Undead and gain temporary allies"
4400,4400,4400,9222,"Short strength/endurance boost, but lose HP"
4500,4520,4500,9310,"Hurl giant chaos fireball"
4500,4520,4510,9362,"Erect chaos fire pillars in vicinity"
4500,4520,4520,9436,"Sweep foes with chaos fire whip"
5000,5050,5000,9500,"Restores HP"
5000,5050,5010,9524,"Restores high HP"
5000,5050,5020,9558,"Restores high HP"
5000,5050,5030,9592,"Restores high HP for self and vicinity"
5000,5050,5040,9670,"Gradual HP restoration"
5000,5050,5050,9716,"Gradual HP restoration for self and vicinity"
5100,5110,5100,9806,"Gravelord swords jut out in vicinity"
5100,5110,5110,9880,"Giant Gravelord swords jut out in vicinity"
5200,5210,5200,9966,"While active, no losses incurred upon death"
5200,5210,5210,10054,"Return to last bonfire used for resting"
5300,5320,5300,10134,"Create shockwave"
5300,5320,5310,10168,"Create powerful shockwave"
5300,5320,5320,10220,"Emit shockwave"
5400,5400,5400,10250,"Display more guidance from other worlds"
5500,5520,5500,10330,"Hurl lightning spear"
5500,5520,5510,10372,"Hurl giant lightning spear"
5500,5520,5520,10426,"Hurl sunlight spear"
5600,5610,5600,10466,"Cover body in defensive magic coating"
5600,5610,5610,10542,"Cover body in powerful def. magic coating"
5700,5710,5700,10626,"Temporary auto counter vs. heavy damage"
5800,5810,5800,10706,"Slows all walking within effect area"
5800,5810,5810,10780,"Prevents casting of magic within effect area"
5900,5910,5900,10870,"Boost right weapon with rays of Sun"
5900,5910,5910,10942,"Boost right weapon with rays of Darkmoon"
1200000,1200000,1200000,11024,"Fire soul dart"
1210000,1210000,1210000,11054,"Fire more powerful soul dart"
1300000,1300000,1300000,11112,"Fire soul arrow"
1301000,1301000,1301000,11144,"Fire more powerful soul arrow"
1302000,1302000,1302000,11204,"Fire heavy soul arrow"
1303000,1303000,1303000,11248,"Fire more powerful heavy soul arrow"
1304000,1304000,1304000,11320,"Release homing soulmass"
1305000,1305000,1305000,11368,"Release homing crystal soulmass"
1306000,1306000,1306000,11432,"Fire soul spear"
1307000,1307000,1307000,11464,"Fire piercing crystal soul spear"
1308000,1308000,1308000,11530,"Fire darkened soul sediment"
1309000,1309000,1309000,11586,"Fire powerful darkened soul sediment"
1310000,1310000,1310000,11660,"Reinforce right weapon with magic"
1311000,1311000,1311000,11728,"Greatly reinforce right weapon with magic"
1312000,1312000,1312000,11812,"Reinforce right weapon with crystal magic"
1330000,1330000,1330000,11896,"Reinforce left shield with magic"
1331000,1331000,1331000,11962,"Greatly reinforce left shield with magic"
1340000,1340000,1340000,12044,"Turn right weapon invisible"
1341000,1341000,1341000,12100,"Turn body nearly invisible"
1350000,1350000,1350000,12154,"Cast light to illuminate surroundings"
1351000,1351000,1351000,12230,"Mask all noises of caster"
1353000,1353000,1353000,12282,"Repair equipped weapons and armor"
1354000,1354000,1354000,12350,"Mask noises of caster and prevent fall damage"
