IdMin,IdMax,Index,TableOffset,Text 
1000,1001,1000,1288,"L pad button"
1000,1001,1001,1314,"R pad button"
100000,100013,100000,1340,"OK"
100000,100013,100001,1346,"Confirm"
100000,100013,100003,1362,"Edit"
100000,100013,100008,1372,"Equip/Remove"
100000,100013,100013,1398,"View player info"
110000,110001,110000,1432,"Back"
110000,110001,110001,1442,"Close"
120000,120051,120000,1454,"Remove"
120000,120051,120001,1468,"Use"
120000,120051,120002,1476,"Finish"
120000,120051,120003,1490,"Protect ON/OFF"
120000,120051,120008,1520,"Sample"
120000,120051,120009,1534,"Show Self"
120000,120051,120010,1554,"Show item info"
120000,120051,120011,1584,"Hide item info"
120000,120051,120020,1614,"Sort"
120000,120051,120030,1624,"Test now"
120000,120051,120040,1642,"Copy"
120000,120051,120045,1652,"Restore"
120000,120051,120050,1668,"Auto-refill ON"
120000,120051,120051,1698,"Auto-refill OFF"
120100,120101,120100,1730,"Asc."
120100,120101,120101,1740,"Desc."
130000,130011,130000,1752,"Switch"
130000,130011,130005,1766,"Switch action"
130000,130011,130007,1794,"Top Rank"
130000,130011,130010,1812,"Simple"
130000,130011,130011,1826,"Detailed"
130030,130030,130030,1844,"Switch"
140000,140004,140000,1858,"Switch category"
140000,140004,140002,1890,"Change Note Format"
140000,140004,140003,1928,"Switch tab"
140000,140004,140004,1950,"Change Equip Area"
140040,140040,140040,1986,"Change by 10"
150000,150014,150000,2012,"Switch to box"
150000,150014,150001,2040,"Switch to inventory"
150000,150014,150004,2080,"Scroll"
150000,150014,150005,2094,"Page up"
150000,150014,150006,2110,"Page down"
150000,150014,150011,2130,"Next 100"
150000,150014,150012,2148,"Previous 100"
150000,150014,150013,2174,"Next 10"
150000,150014,150014,2190,"Previous 10"
150040,150040,150040,2214,"Zoom"
160000,160000,160000,2224,"Help"
200000,200006,200000,2234,"Select"
200000,200006,200001,2248,"Modify"
200000,200006,200006,2262,"Scroll"
310040,310040,310040,2276,"Rotate"
320000,320001,320000,2290,"Compare details"
320000,320001,320001,2322,"Reset Camera"
320040,320040,320040,2348,"Switch view"
400003,400005,400003,2372,"Delete"
400003,400005,400004,2386,"Good"
400003,400005,400005,2396,"Poor"
