IdMin,IdMax,Index,TableOffset,Text 
1000,1000,1000,2512,"SAVE DATA"
2001,2022,2001,2532,"KG_PS4_OK"
2001,2022,2002,2552,"KG_PS4_Cancel"
2001,2022,2003,2580,"KG_PS4_L_U"
2001,2022,2004,2602,"KG_PS4_L_D"
2001,2022,2005,2624,"KG_PS4_L_L"
2001,2022,2006,2646,"KG_PS4_L_R"
2001,2022,2007,2668,"KG_PS4_L_UD"
2001,2022,2008,2692,"KG_PS4_L_LR"
2001,2022,2009,2716,"KG_PS4_L_UDLR"
2001,2022,2010,2744,"KG_PS4_R_U"
2001,2022,2011,2766,"KG_PS4_R_L"
2001,2022,2012,2788,"KG_PS4_L1"
2001,2022,2013,2808,"KG_PS4_R1"
2001,2022,2014,2828,"KG_PS4_L2"
2001,2022,2015,2848,"KG_PS4_R2"
2001,2022,2016,2868,"KG_PS4_L3"
2001,2022,2017,2888,"KG_PS4_R3"
2001,2022,2018,2908,"KG_PS4_LS"
2001,2022,2019,2928,"KG_PS4_RS"
2001,2022,2020,2948,"KG_PS4_TP_L"
2001,2022,2021,2972,"KG_PS4_TP_R"
2001,2022,2022,2996,"KG_PS4_Start"
2100,2100,2100,3022,"Profile"
2201,2204,2201,3038,"CN_TEX_Copyright"
2201,2204,2202,3072,"CN_TEX_R_mark"
2201,2204,2203,3100,"CN_TEX_TradeMark"
2201,2204,2204,3134,"CN_TEX_Dash"
3000,3000,3000,3158,"Set DUALSHOCK®4 wireless controller vibration strength."
4101,4106,4101,3270,"Cannot connect to network. Returning to Title Menu."
4101,4106,4102,3374,"The connection to the DARK SOULS Ⅲ game server was lost. Returning to title menu."
4101,4106,4103,3538,"You have signed out of PlayStation™Network. Returning to title menu."
4101,4106,4104,3676,"A network error occurred. Returning to title menu."
4101,4106,4106,3778,"Your PlayStation®Plus membership has expired. Returning to title menu."
4190,4193,4190,3920,"A network error occurred. Returning to title menu."
4190,4193,4191,4022,"Failed to save game. Save data is corrupted. Select "Yes" to try again. Select "No" to return to the title screen without saving."
4190,4193,4192,4286,"Failed to save game. Save data is corrupted. Returning to title screen."
4190,4193,4193,4432,"Failed to save game. Save data is corrupted."
100000,100030,100000,4522,"R1"
100000,100030,100001,4528,"L1"
100000,100030,100010,4534,"Online ID"
100000,100030,100011,4554,"Character name"
100000,100030,100020,4584,"Some functionality has been restricted as per parental control settings."
100000,100030,100030,4730,"DUALSHOCK®4 wireless controller"
100100,100100,100100,4794,"Installation progress"
101000,101000,101000,4838,"PRESS ANY BUTTON"
200100,200100,200100,4872,"Text includes unsupported characters. Unsupported characters will be replaced with asterisks (*)."
400003,400003,400003,5068,"At the end of the previous session, Quit Game might not have been selected from the system menu. Please use Quit Game from the system menu when you wish to end your play session. Failure to end session with Quit Game may result in loss of progress."
401102,401120,401102,5568,"Failed to create save data. Press "OK" to try again."
401102,401120,401103,5674,"Failed to load save data. Press "OK" to try again."
401102,401120,401106,5776,"Failed to save game. Save data is corrupted. Select "OK" to try again."
401102,401120,401107,5920,"The save data is corrupted. Delete corrupted data and create a new save?"
401102,401120,401110,6066,"Checking save data..."
401102,401120,401111,6110,"Creating save data..."
401102,401120,401112,6154,"Updating save data..."
401102,401120,401113,6198,"The game version and save data version are different. Quit the game and sign in to PlayStation™Network to update DARK SOULS Ⅲ to the latest version."
401102,401120,401114,6496,"Cannot load this profile as it is from a later version of the currently installed game. Quit the game and sign in to PlayStation™Network to update DARK SOULS Ⅲ to the latest version."
401102,401120,401115,6862,"Game installation incomplete. Cannot load profile."
401102,401120,401120,6964,"Checking network connection status..."
401150,401171,401150,7040,"Logging in to the DARK SOULS Ⅲ game server..."
401150,401171,401160,7132,"Retrieving data from the DARK SOULS III game server..."
401150,401171,401165,7242,"Saving data to the DARK SOULS III game server..."
401150,401171,401170,7340,"Starting game in offline mode.  To use online features, check to see  if your connection is set up properly,  and select "Log In" from title menu."
401150,401171,401171,7636,"Returning to title menu."
401201,401214,401201,7686,"Unable to connect to the network. Please check your network settings."
401201,401214,401202,7826,"Network status check failed."
401201,401214,401203,7884,"You are not currently signed into PlayStation™Network. Please sign in to start in online mode."
401201,401214,401204,8074,"Sign in status check failed."
401201,401214,401205,8132,"Unable to start in online mode due to age restrictions."
401201,401214,401206,8244,"A new version of the system software is available. To start in online mode, please update the system software."
401201,401214,401207,8466,"An update to the game is available. To start in online mode,  quit the game and sign in to PlayStation™Network to update DARK SOULS Ⅲ to the latest version."
401201,401214,401208,8780,"Network features check failed."
401201,401214,401209,8842,"Failed to acquire parental control information."
401201,401214,401213,8938,"You are currently offline."
401201,401214,401214,8992,"Online status check failed."
401501,401505,401501,9048,"A network error occurred. Select "OK" to try again."
401501,401505,401502,9152,"Your Sony Entertainment Network account is currently blocked from accessing the DARK SOULS Ⅲ game server services."
