IdMin,IdMax,Index,TableOffset,Text 
2001,2022,2001,2528,"KG_OK"
2001,2022,2002,2540,"KG_Cancel"
2001,2022,2003,2560,"KG_L_U"
2001,2022,2004,2574,"KG_L_D"
2001,2022,2005,2588,"KG_L_L"
2001,2022,2006,2602,"KG_L_R"
2001,2022,2007,2616,"KG_L_UD"
2001,2022,2008,2632,"KG_L_LR"
2001,2022,2009,2648,"KG_L_UDLR"
2001,2022,2010,2668,"KG_R_U"
2001,2022,2011,2682,"KG_R_L"
2001,2022,2012,2696,"KG_L1"
2001,2022,2013,2708,"KG_R1"
2001,2022,2014,2720,"KG_L2"
2001,2022,2015,2732,"KG_R2"
2001,2022,2016,2744,"KG_L3"
2001,2022,2017,2756,"KG_R3"
2001,2022,2018,2768,"KG_LS"
2001,2022,2019,2780,"KG_RS"
2001,2022,2020,2792,"KG_TP_L"
2001,2022,2021,2808,"KG_TP_R"
2001,2022,2022,2824,"KG_Start"
2100,2100,2100,2842,"Gamercard"
2201,2204,2201,2862,"CN_TEX_Copyright"
2201,2204,2202,2896,"CN_TEX_R_mark"
2201,2204,2203,2924,"CN_TEX_TradeMark"
2201,2204,2204,2958,"CN_TEX_Dash"
3000,3000,3000,2982,"Set Xbox One Wireless Controller vibration strength."
4101,4102,4101,3088,"Cannot connect to network. Returning to Title Menu."
4101,4102,4102,3192,"The connection to the DARK SOULS Ⅲ game server was lost. Returning to title menu."
4130,4134,4130,3356,"You have disconnected from Xbox Live. Returning to title menu."
4130,4134,4131,3482,"A network error occurred. Returning to title menu."
4130,4134,4132,3584,"This profile is not authorized to connect to online mode. Returning to title menu."
4130,4134,4133,3750,"Signed out. Returning to title menu."
4130,4134,4134,3824,"Press the <?kgicon@2001?> button on the Xbox One wireless controller that will be used."
4190,4193,4190,4000,"A network error occurred. Returning to title menu."
4190,4193,4191,4102,"Failed to save game. Save data is corrupted. Select "Yes" to try again. Select "No" to return to the title screen without saving."
4190,4193,4192,4366,"Failed to save game. Save data is corrupted. Returning to title screen."
4190,4193,4193,4512,"Failed to save game. Save data is corrupted."
100000,100030,100000,4602,"RB"
100000,100030,100001,4608,"LB"
100000,100030,100010,4614,"Gamertag"
100000,100030,100011,4632,"Character name"
100000,100030,100020,4662,"Some functionality has been restricted as per parental control settings."
100000,100030,100030,4808,"Xbox One wireless controller"
100100,100100,100100,4866,"Installation progress"
101000,101000,101000,4910,"PRESS ANY BUTTON"
200100,200100,200100,4944,"Text includes unsupported characters. Unsupported characters will be replaced with asterisks (*)."
400003,400003,400003,5140,"At the end of the previous session, Quit Game might not have been selected from the system menu. Please use Quit Game from the system menu when you wish to end your play session. Failure to end session with Quit Game may result in loss of progress."
401102,401120,401102,5640,"Failed to create save data. Press "OK" to try again."
401102,401120,401103,5746,"Failed to load save data. Press "OK" to try again."
401102,401120,401106,5848,"Failed to save game. Save data is corrupted. Select "OK" to try again."
401102,401120,401107,5992,"The save data is corrupted. Delete corrupted data and create a new save?"
401102,401120,401110,6138,"Checking save data..."
401102,401120,401111,6182,"Creating save data..."
401102,401120,401112,6226,"Updating save data..."
401102,401120,401113,6270,"The game version and save data version are different. Quit the game and connect to Xbox Live to update DARK SOULS Ⅲ to the latest version."
401102,401120,401114,6548,"Cannot load this profile as it is from a later version of the currently installed game. Quit the game and sign in to Xbox Live to update DARK SOULS Ⅲ to the latest version."
401102,401120,401115,6894,"Game installation incomplete. Cannot load profiles saved to a complete install."
401102,401120,401120,7054,"Checking network connection status..."
401150,401184,401150,7130,"Logging in to the DARK SOULS Ⅲ game server..."
401150,401184,401160,7222,"Retrieving data from the DARK SOULS III game server..."
401150,401184,401165,7332,"Saving data to the DARK SOULS III game server..."
401150,401184,401170,7430,"Starting game in offline mode.  To use online features, check to see  if your connection is set up properly,  and select "Log In" from title menu."
401150,401184,401171,7726,"Returning to title menu."
401150,401184,401181,7776,"Begin play with this profile: <?gamertag?>"
401150,401184,401182,7862,"Cannot play using a guest profile. Please select an Xbox Live profile."
401150,401184,401183,8004,"The game cannot be started as you have not selected a profile. Please select a profile now."
401150,401184,401184,8188,"An error has occurred. Returning to title menu."
401201,401202,401201,8284,"Unable to connect to the network. Please check your network settings."
401201,401202,401202,8424,"Network status check failed."
401502,401510,401502,8482,"Your profile is currently not permitted to access DARK SOULS Ⅲ game server services."
401502,401510,401503,8652,"Failed to log in to the DARK SOULS Ⅲ game server. Select "OK" to attempt to log in again."
401502,401510,401504,8832,"An update to the game is available. To start in online mode,  quit the game and sign in to Xbox Live to update DARK SOULS Ⅲ to the latest version."
