IdMin,IdMax,Index,TableOffset,Text 
1,17,1,2752,"OK"
1,17,2,2758,"CANCEL"
1,17,3,2772,"YES"
1,17,4,2780,"NO"
1,17,5,2786,"Accept"
1,17,6,2800,"Decline"
1,17,15,2816,"RETRY"
1,17,16,2828,"CONTINUE"
1,17,17,2846,"RETURN TO TITLE"
40200,40202,40200,2878,"Insufficient souls"
40200,40202,40201,2916,"Additional items required"
40200,40202,40202,2968,"Additional items/souls required"
40300,40300,40300,3032,"Reset to default settings. Okay?"
40500,40500,40500,3098,"Restore all default settings. Okay?"
102000,102010,102000,3170,"Leave <?itemName?>. Okay?"
102000,102010,102001,3222,"Discard <?itemName?>. Okay?"
102000,102010,102002,3278,"Leave all selected items. Okay?"
102000,102010,102003,3342,"Discard all selected items. Okay?"
102000,102010,102010,3410,"This action will exceed maximum souls. Souls exceeding maximum will be lost. Use regardless?"
103000,103001,103000,3596,"Unable to use this item effectively with present attributes."
103000,103001,103001,3718,"Unable to use this item effectively with present attributes, unless wielded with both hands."
103110,103151,103110,3904,"Cannot equip ring as an incompatible ring is currently equipped."
103110,103151,103120,4034,"Cannot remove ring at this time."
103110,103151,103130,4100,"Cannot change equipment at this time."
103110,103151,103140,4176,"Loss of attunement slots will result in removal of any excess spells. Okay?"
103110,103151,103141,4328,"Spells removed."
103110,103151,103150,4360,"Ring will break once removed. Remove ring?"
103110,103151,103151,4446,"Equipment will break once removed. Remove equipment?"
110000,110000,110000,4552,"Save the game and return to title menu?"
211000,211000,211000,4632,"No bonfires available for warping"
212000,212010,212000,4700,"Spend <?demandSoul?> souls and level up?"
212000,212010,212001,4782,"Cancel level up. Okay?"
212000,212010,212002,4828,"Select at least one attribute to level up."
212000,212010,212010,4914,"Level at maximum. Cannot raise level any further."
212250,212251,212250,5014,"Level up?"
212250,212251,212251,5034,"Cancel level up. Okay?"
212500,212503,212500,5080,"Level up?"
212500,212503,212501,5100,"Cancel level up. Okay?"
212500,212503,212503,5146,"<?itemNum?> <?gdsparam@490?>(s) gained."
212750,212761,212750,5226,"Initiate rebirth?"
212750,212761,212751,5262,"Canceling rebirth. Okay?"
