IdMin,IdMax,Index,TableOffset,Text 
3010,3021,3010,16976,"<?null?>"
3010,3021,3011,16994,"<?null?>"
3010,3021,3020,17012,"<?null?>"
3010,3021,3021,17030,"<?null?>"
4100,4112,4100,17048,"Use"
4100,4112,4101,17056,"Leave"
4100,4112,4102,17068,"Discard"
4100,4112,4110,17084,"Use selected"
4100,4112,4111,17110,"Leave selected"
4100,4112,4112,17140,"Discard selected"
5100,5108,5100,17174,"Use how many?"
5100,5108,5101,17202,"Leave how many?"
5100,5108,5102,17234,"Discard how many?"
5100,5108,5104,17270,"Purchase how many?"
5100,5108,5105,17308,"Sell how many?"
5100,5108,5106,17338,"Store how many?"
5100,5108,5107,17370,"Take how many?"
5100,5108,5108,17400,"Transpose how many?"
5501,5502,5501,17440,"Explanation"
5501,5502,5502,17464,"View Controls"
6100,6150,6100,17492,"Default order"
6100,6150,6110,17520,"Number held"
6100,6150,6111,17544,"Weight"
6100,6150,6120,17558,"FP consumed"
6100,6150,6121,17582,"Slots used"
6100,6150,6130,17604,"Attack power"
6100,6150,6140,17630,"Guard absorption"
6100,6150,6150,17664,"By Effect"
6170,6180,6170,17684,"Absorption"
6170,6180,6180,17706,"Resistance"
10100,10103,10100,17728,"Name"
10100,10103,10101,17738,"Sex"
10100,10103,10102,17746,"Class"
10100,10103,10103,17758,"Burial gift"
10200,10203,10200,17782,"Level"
10200,10203,10201,17794,"Souls"
10200,10203,10202,17806,"Required souls"
10200,10203,10203,17836,"Hollowing"
10300,10301,10300,17856,"Covenant"
10300,10301,10301,17874,"Age"
10400,10409,10400,17882,"Vigor"
10400,10409,10401,17894,"Endurance"
10400,10409,10402,17914,"Attunement"
10400,10409,10403,17936,"Strength"
10400,10409,10404,17954,"Dexterity"
10400,10409,10405,17974,"Vitality"
10400,10409,10406,17992,"Intelligence"
10400,10409,10407,18018,"Faith"
10400,10409,10409,18030,"Luck"
10500,10543,10500,18040,"HP"
10500,10543,10501,18046,"FP"
10500,10543,10502,18052,"Stamina"
10500,10543,10510,18068,"Equip Load"
10500,10543,10511,18090,"Weight Ratio"
10500,10543,10520,18116,"R Weapon 1"
10500,10543,10521,18138,"R Weapon 2"
10500,10543,10522,18160,"R Weapon 3"
10500,10543,10523,18182,"L Weapon 1"
10500,10543,10524,18204,"L Weapon 2"
10500,10543,10525,18226,"L Weapon 3"
10500,10543,10530,18248,"Physical"
10500,10543,10531,18266," VS strike"
10500,10543,10532,18288," VS slash"
10500,10543,10533,18308," VS thrust"
10500,10543,10534,18330,"Magic"
10500,10543,10535,18342,"Fire"
10500,10543,10536,18352,"Lightning"
10500,10543,10537,18372,"Dark"
10500,10543,10540,18382,"Poison"
10500,10543,10541,18396,"Bleed"
10500,10543,10542,18408,"Curse"
10500,10543,10543,18420,"Frost"
10561,10562,10561,18432,"Attunement Slots"
10561,10562,10562,18466,"Item Discovery"
11001,11041,11001,18496,"Weapon category"
11001,11041,11002,18528,"Spell category"
11001,11041,11003,18558,"Attack type"
11001,11041,11004,18582,"No. Held"
11001,11041,11005,18600,"Stored"
11001,11041,11006,18614,"Skill Type"
11001,11041,11010,18636,"Physical"
