IdMin,IdMax,Index,TableOffset,Text 
9500,9500,9500,26184,"Area boss can now be challenged"
9600,9603,9601,26248,"Obtained Dragon Scale. Returning to your world."
9600,9603,9602,26344,"Dragon Scale found"
9600,9603,9603,26382,"Dragon Scale found"
50520,50525,50520,26420,"<?sysmsg@50520?>"
50520,50525,50521,26454,"<?sysmsg@50521?>"
50520,50525,50522,26488,"<?sysmsg@50522?>"
50520,50525,50523,26522,"<?sysmsg@50523?>"
50520,50525,50524,26556,"<?sysmsg@50524?>"
50520,50525,50525,26590,"<?sysmsg@50525?>"
70000,70000,70000,26624,"<?sysmsg@70000?>"
100100,100100,100100,26658,"You were indicted"
140000,140058,140000,26694,"Phantom Sign"
140000,140058,140001,26720,"Summon this Avatar?"
140000,140058,140002,26760,"Summon this dark spirit?"
140000,140058,140003,26810,"Cancel summon sign?"
140000,140058,140004,26850,"Cancel summon sign?"
140000,140058,140005,26890,"Searching for world to invade..."
140000,140058,140006,26956,"Searching for world of a Gravelord Servant to invade..."
140000,140058,140007,27068,"Invade world of Gravelord Servant?"
140000,140058,140008,27138,"Cancel scale-searching Dragon Eye?"
140000,140058,140009,27208,"Touch dragon remnants?"
140000,140058,140010,27254,"Summoning Avatar..."
140000,140058,140011,27294,"Summoning dark spirit..."
140000,140058,140012,27344,"Dragon spirit invading through remnants..."
140000,140058,140013,27430,"You are being summoned..."
140000,140058,140014,27482,"You are being summoned..."
140000,140058,140015,27534,"Invading another world..."
140000,140058,140016,27586,"You are being summoned..."
140000,140058,140017,27638,"Invading a world of a Gravelord Servant..."
140000,140058,140018,27724,"Owner of Dragon Scale located. Invading world..."
140000,140058,140019,27822,"Invading world of the guilty..."
140000,140058,140023,27886,"Being summoned to another world as phantom"
140000,140058,140024,27972,"Being summoned to another world as dark spirit"
140000,140058,140025,28066,"Invading another world as dark spirit"
140000,140058,140026,28142,"Become an evil spirit and invade another world"
140000,140058,140027,28236,"Invading world of a Gravelord Servant as spirit of vengeance"
140000,140058,140028,28358,"Invading world of an owner of a Dragon Scale as dragon spirit"
140000,140058,140029,28482,"Invading world of the guilty as spirit of vengeance"
140000,140058,140030,28586,"Avatar <?joinName?> summoned"
140000,140058,140031,28644,"Dark spirit <?joinName?> summoned"
140000,140058,140032,28712,"Dark spirit <?joinName?> has invaded!"
140000,140058,140033,28788,"Summoned to the world of <?hostName?>"
140000,140058,140034,28864,"Summoned to the world of <?hostName?>"
140000,140058,140035,28940,"Invaded the world of <?hostName?>"
140000,140058,140036,29008,"Invaded the world of <?hostName?>"
140000,140058,140037,29076,"Invaded the world of Gravelord Servant <?hostName?>"
140000,140058,140038,29180,"Invaded the world of Dragon Scale owner <?hostName?>"
140000,140058,140039,29286,"Invaded the world of <?hostName?> the guilty"
140000,140058,140043,29376,"Avatar <?joinName?> summoned"
140000,140058,140044,29434,"Dark spirit <?joinName?> summoned"
140000,140058,140045,29502,"Dark spirit <?joinName?> has invaded!"
140000,140058,140046,29578,"Evil spirit <?joinName?> has invaded!"
140000,140058,140047,29654,"Spirit of vengeance <?joinName?> has invaded!"
140000,140058,140048,29746,"Dragon spirit <?joinName?> has invaded!"
140000,140058,140049,29826,"Spirit of vengeance <?joinName?> has invaded!"
140000,140058,140050,29918,"Summoning failed"
140000,140058,140055,29952,"Failed to invade"
140000,140058,140058,29986,"Dragon spirit disappeared"
140070,140078,140070,30038,"You were not summoned"
140070,140078,140078,30082,"Lost sight of owner of Dragon Scale"
140130,140159,140133,30154,"Area boss defeated! Returning with newfound humanity."
140130,140159,140134,30262,"Summoner defeated! Returning with newfound humanity."
140130,140159,140135,30368,"Master of world defeated! Returning with newfound humanity."
140130,140159,140136,30488,"Area boss vanquished! Returning with newfound humanity."
140130,140159,140137,30600,"Gravelord Servant defeated! Returning with newfound humanity."
140130,140159,140138,30724,"Master of world defeated! Returning with Dragon Scale."
140130,140159,140139,30834,"The guilty pay the price. Returning with Souvenir of Reprisal."
