IdMin,IdMax,Index,TableOffset,Text 
110000,110007,110000,1152,"Inventory"
110000,110007,110001,1172,"Equipment"
110000,110007,110003,1192,"Status"
110000,110007,110005,1206,"Options"
110000,110007,110006,1222,"System"
110000,110007,110007,1236,"Brightness"
111010,111013,111010,1258,"Drop"
111010,111013,111011,1268,"Change Order"
111010,111013,111012,1294,"Reset Order"
111010,111013,111013,1318,"Use Item"
112000,112030,112000,1336,"Armor"
112000,112030,112001,1348,"Head"
112000,112030,112002,1358,"Chest"
112000,112030,112003,1370,"Hands"
112000,112030,112004,1382,"Legs"
112000,112030,112010,1392,"Weapons"
112000,112030,112011,1408,"Right Hand"
112000,112030,112012,1430,"Left Hand"
112000,112030,112013,1450,"Arrow"
112000,112030,112014,1462,"Bolt"
112000,112030,112020,1472,"Ring"
112000,112030,112030,1482,"Usable Item"
114000,114008,114000,1506,"Controls"
114000,114008,114002,1524,"X Axis"
114000,114008,114003,1538,"Y Axis"
114000,114008,114004,1552,"Camera Speed"
114000,114008,114006,1578,"Vibration"
114000,114008,114007,1598,"Toggle auto lock-on"
114000,114008,114008,1638,"Camera auto wall recovery"
114100,114111,114100,1690,"Display"
114100,114111,114101,1706,"Show Blood"
114100,114111,114102,1728,"Subtitles"
114100,114111,114103,1748,"Brightness"
114100,114111,114104,1770,"HUD"
114100,114111,114110,1778,"Adjust brightness until flame"
114100,114111,114111,1838,"is visible and dragon invisible"
114200,114204,114200,1902,"Sound"
114200,114204,114202,1914,"Music"
114200,114204,114203,1926,"Sounds"
114200,114204,114204,1940,"Voice"
114250,114251,114250,1952,"<?platmsg@10005?>"
114250,114251,114251,1988,"Join leaderboard"
114300,114301,114300,2022,"Initialize"
114300,114301,114301,2044,"OK"
114400,114407,114400,2050,"ON"
114400,114407,114401,2056,"OFF"
114400,114407,114404,2064,"Normal"
114400,114407,114405,2078,"Reverse"
114400,114407,114407,2094,"Mild"
115000,115005,115000,2104,"Options"
115000,115005,115002,2120,"Quit Game"
115000,115005,115004,2140,"Brightness"
127000,127014,127000,2162,"Beckon"
127000,127014,127001,2176,"Point forward"
127000,127014,127002,2204,"Hurrah!"
127000,127014,127003,2220,"Bow"
127000,127014,127004,2228,"Joy"
127000,127014,127005,2236,"Shrug"
127000,127014,127006,2248,"Wave"
127000,127014,127007,2258,"Praise the Sun"
127000,127014,127008,2288,"Point up"
127000,127014,127009,2306,"Point down"
127000,127014,127010,2328,"Look skyward"
127000,127014,127011,2354,"Well! What is it!"
127000,127014,127012,2390,"Prostration"
127000,127014,127013,2414,"Proper bow"
127000,127014,127014,2436,"Prayer"
127200,127200,127200,2450,"Gesture Menu"
130000,130000,130000,2476,"Map Menu"
130100,130102,130100,2494,"B1F"
130100,130102,130101,2502,"B2F"
130100,130102,130102,2510,"B3F"
141000,141001,141000,2518,"Send Phantom home"
141000,141001,141001,2554,"<?conclusion?>:OK　<?cancel?>:CANCEL"
