IdMin,IdMax,Index,TableOffset,Text 
10000,10004,10000,1760,"<?selectLR?>:Select <?conclusion?>:Enter <?cancel?>:Close"
10000,10004,10001,1876,"<?selectLR?>:Select <?conclusion?>:Enter <?cancel?>:Close"
10000,10004,10002,1992,"<?selectLR?>:Select <?conclusion?>:Enter <?cancel?>:Close"
10000,10004,10003,2108,"<?selectLR?>:Select <?conclusion?>:Enter <?cancel?>:Close"
10000,10004,10004,2224,"<?selectLR?>:Select <?conclusion?>:Enter <?cancel?>:Close"
11000,11007,11000,2340,"<?selectAll?>:Select　<?conclusion?>:Enter　<?cancel?>:Close　<?commando?>:Toggle Display　<?viewChange?>:Toggle Status　<?HelpMenu?>"
11000,11007,11001,2598,"<?selectAll?>:Select　<?conclusion?>:Item Menu　<?cancel?>:Close　<?commando?>:Toggle Display　<?viewChange?>:Toggle Status　<?HelpMenu?>"
11000,11007,11002,2864,"<?selectUD?>:Select　<?conclusion?>:Enter　<?cancel?>:Cancel　<?viewChange?>:Toggle Status"
11000,11007,11003,3040,"<?selectUD?>:Select　<?conclusion?>:Enter　<?cancel?>:Cancel　<?viewChange?>:Toggle Status"
11000,11007,11004,3216,"<?selectUD?>:Select　<?conclusion?>:Enter　<?cancel?>:Close"
11000,11007,11005,3332,"<?selectUD?>:Select　<?conclusion?>:Enter　<?cancel?>:Close"
11000,11007,11006,3448,"<?selectUD?>:Select　<?conclusion?>:Enter　<?cancel?>:Close"
11000,11007,11007,3564,"<?selectUD?>:Select　<?conclusion?>:Enter　<?cancel?>:Close"
12000,12001,12000,3680,"<?selectAll?>:Select　<?conclusion?>:Enter　<?cancel?>:Close　<?commando?>:Unequip Item　<?viewChange?>:Toggle Status"
12000,12001,12001,3908,"<?selectUD?>:Select　<?conclusion?>:Equip　<?cancel?>:Back　<?commando?>:Toggle Display　<?viewChange?>:Toggle Status"
14000,14000,14000,4136,"<?viewChange?>:Toggle Display <?cancel?>:Close <?slectMenuSwitch?>:Explanation"
16000,16011,16000,4294,"<?selectUD?>:Select <?selectLR?>:Change <?cancel?>:Back"
16000,16011,16001,4406,"<?selectUD?>:Select <?selectLR?>:Change <?cancel?>:Back"
16000,16011,16003,4518,"<?selectUD?>:Select <?conclusion?>:Enter <?cancel?>:Back"
16000,16011,16004,4632,"<?selectUD?>:Select <?conclusion?>:Enter <?cancel?>:Back"
16000,16011,16005,4746,"<?selectUD?>:Select <?conclusion?>:Confirm <?cancel?>:Back"
16000,16011,16006,4864,"<?selectUD?>:Select <?conclusion?>:Confirm <?cancel?>:Back"
16000,16011,16010,4982,"<?selectUD?>:Select　<?selectLR?>:Change　<?cancel?>Back"
16000,16011,16011,5092,"<?selectUD?>:Select　<?selectLR?>:Change　<?cancel?>Back"
16100,16100,16100,5202,"<?selectUD?>:Select　<?conclusion?>:Delete　<?cancel?>:Close"
16500,16503,16500,5320,"<?selectUD?>:Select　<?conclusion?>:Enter　<?cancel?>:Close"
16500,16503,16502,5436,"<?selectUD?>:Select <?conclusion?>:Enter <?cancel?>:Close"
16500,16503,16503,5552,"<?selectUD?>:Select <?conclusion?>:Enter <?cancel?>:Close"
16600,16601,16600,5668,"<?selectLR?>:Select <?conclusion?>:Confirm <?viewChange?>:Switch <?cancel?>:Close"
16600,16601,16601,5832,"<?selectUD?>:Select <?conclusion?>:Enter <?cancel?>:Close"
17300,17301,17300,5948,"<?conclusion?>:<?actionHelp?>"
17300,17301,17301,6008,"<?viewChange?>:Toggle"
17400,17400,17400,6052,"<?selectUD?>:Select <?conclusion?>:Enter <?cancel?>:Close"
17900,17900,17900,6168,"<?conclusion?>:Close"
18000,18000,18000,6210,"<?selectUD?>:Select <?conclusion?>:Enter <?cancel?>:Cancel"
18200,18211,18200,6328,"<?sysmsg@18300?>"
18200,18211,18201,6362,"<?cancel?>:Close　<?viewChange?>:Change Display"
18200,18211,18210,6456,"<?sysmsg@18300?>"
18200,18211,18211,6490,"<?cancel?>:Close　<?viewChange?>:Change Display"
18300,18310,18300,6584,"<?sysmsg@18300?>"
18300,18310,18301,6618,"<?cancel?>:Close　<?viewChange?>:Change Display"
18300,18310,18310,6712,"<?sysmsg@18300?>"
19000,19000,19000,6746,"<?selectAll?>:Select <?cancel?>:Close"
19900,19900,19900,6822,"<?slectMenuSwitch?>:Explanation"
20000,20001,20000,6886,"<?selectUD?>:Select <?selectLR?>:Change <?conclusion?>:Enter <?cancel?>:Exit <?viewChange?>:Initialize <?slectMenuSwitch?>:Explanation"
20000,20001,20001,7156,"<?selectLR?>:Select <?conclusion?>:Enter <?cancel?>:Cancel"
22010,22011,22010,7274,"<?selectLR?>:Select <?conclusion?>:Enter <?cancel?>:Close <?commando?>:Remove <?viewChange?>:Toggle Status"
22010,22011,22011,7488,"<?selectUD?>:Select <?conclusion?>:Enter <?cancel?>:Close <?commando?>:Toggle Display <?viewChange?>:Toggle Status "
30000,30000,30000,7720,"<?selectAll?>:Select <?conclusion?>:Purchase <?cancel?>:Close <?commando?>:Toggle Display"
30100,30100,30100,7900,"<?selectAll?>:Select <?conclusion?>:Feed <?cancel?>:Close <?commando?>:Toggle Display"
31000,31000,31000,8072,"<?selectAll?>:Select <?conclusion?>:Enter <?cancel?>:Close <?commando?>:Toggle Display"
32000,32002,32000,8246,"<?selectUD?>:Select <?conclusion?>:Enter <?cancel?>:Back <?commando?>:Toggle Display"
32000,32002,32001,8416,"<?selectUD?>:Select <?conclusion?>:Enter <?cancel?>:Back <?commando?>:Toggle Display"
32000,32002,32002,8586,"<?selectAll?>:Select <?conclusion?>:Enter <?cancel?>:Back <?commando?>:Toggle Display"
41000,41002,41000,8758,"<?selectUD?>:Select <?conclusion?>:Enter <?cancel?>:Back <?viewChange?>:Toggle Display <?commando?>:Delete"
41000,41002,41001,8972,"<?selectUD?>:Select <?conclusion?>:Enter <?cancel?>:Back <?viewChange?>:Toggle Display <?commando?>:Delete"
41000,41002,41002,9186,"<?conclusion?>:Enter <?cancel?>:Back <?viewChange?>:Toggle Display <?commando?>:Delete"
42100,42109,42100,9360,"<?selectAll?>:Select <?conclusion?>:Edit <?cancel?>:Back <?spin?>:Rotate"
42100,42109,42101,9506,"<?selectAll?>:Select <?conclusion?>:Edit <?cancel?>:Back <?spin?>:Rotate"
42100,42109,42102,9652,"<?selectAll?>:Select <?conclusion?>:Edit <?cancel?>:Back <?spin?>:Rotate"
42100,42109,42103,9798,"<?selectAll?>:Select <?conclusion?>:Edit <?cancel?>:Back <?spin?>:Rotate"
42100,42109,42104,9944,"<?selectAll?>:Select <?conclusion?>:Edit <?cancel?>:Back <?spin?>:Rotate"
42100,42109,42105,10090,"<?selectAll?>:Select <?conclusion?>:Edit <?cancel?>:Back <?spin?>:Rotate"
42100,42109,42106,10236,"<?selectAll?>:Select <?conclusion?>:Edit <?cancel?>:Back <?spin?>:Rotate"
42100,42109,42107,10382,"<?selectAll?>:Select <?conclusion?>:Edit <?cancel?>:Back <?spin?>:Rotate"
42100,42109,42108,10528,"<?selectAll?>:Select <?conclusion?>:Edit <?cancel?>:Back <?spin?>:Rotate"
42100,42109,42109,10674,"<?selectAll?>:Select <?conclusion?>:Edit <?cancel?>:Back <?spin?>:Rotate"
42120,42129,42120,10820,"<?selectAll?>:Select <?conclusion?>:Enter <?cancel?>:Back <?spin?>:Rotate"
42120,42129,42122,10968,"<?selectAll?>:Select <?conclusion?>:Enter <?cancel?>:Back <?spin?>:Rotate"
42120,42129,42123,11116,"<?selectAll?>:Select <?conclusion?>:Enter <?cancel?>:Back <?spin?>:Rotate"
42120,42129,42124,11264,"<?selectAll?>:Select <?conclusion?>:Enter <?cancel?>:Back <?spin?>:Rotate"
42120,42129,42125,11412,"<?selectAll?>:Select <?conclusion?>:Enter <?cancel?>:Back <?spin?>:Rotate"
42120,42129,42126,11560,"<?selectAll?>:Select <?conclusion?>:Enter <?cancel?>:Back <?spin?>:Rotate"
42120,42129,42127,11708,"<?selectAll?>:Select <?conclusion?>:Enter <?cancel?>:Back <?spin?>:Rotate"
43001,43013,43001,11856,"<?selectUD?>:Select <?selectLR?>:Change Item <?cancel?>:Back <?spin?>:Rotate Face"
43001,43013,43002,12020,"<?selectUD?>:Select <?conclusion?>:Execute <?cancel?>:Back <?spin?>:Rotate Face"
43001,43013,43003,12180,"<?selectUD?>:Select <?conclusion?>:Execute <?cancel?>:Back <?spin?>:Rotate Face"
43001,43013,43004,12340,"<?selectUD?>:Select <?selectLR?>:Change Value <?cancel?>:Back <?spin?>:Rotate Face"
43001,43013,43005,12506,"<?selectUD?>:Select <?selectLR?>:Change Value <?cancel?>:Back <?spin?>:Rotate Face"
43001,43013,43006,12672,"<?selectUD?>:Select <?conclusion?>:Select <?cancel?>:Back <?spin?>:Rotate Face"
43001,43013,43007,12830,"<?selectUD?>:Select <?conclusion?>:Select <?cancel?>:Back <?spin?>:Rotate Face"
43001,43013,43011,12988,"<?selectUD?>:Select <?selectLR?>:Change Item <?cancel?>:Back <?spin?>:Rotate Face"
43001,43013,43012,13152,"<?selectUD?>:Select <?selectLR?>:Change Item <?cancel?>:Back <?spin?>:Rotate Face"
43001,43013,43013,13316,"<?selectUD?>:Select <?selectLR?>:Change Item <?cancel?>:Back <?spin?>:Rotate Face"
