IdMin,IdMax,Index,TableOffset,Text 
1000000,1000002,1000000,304,"Yes, indeed."
1000000,1000002,1000001,330,"It is called Lothric,"
1000000,1000002,1000002,374,"where the transitory lands of the Lords of Cinder converge."
1000100,1000101,1000100,494,"In venturing north,"
1000100,1000101,1000101,534,"the pilgrims discover the truth of the old words."
1000200,1000201,1000200,634,"The fire fades,
1000200,1000201,1000201,668,"and the lords go without thrones.""
1000300,1000301,1000300,738,"When the link of fire is threatened, the bell tolls,"
1000300,1000301,1000301,844,"unearthing the old Lords of Cinder from their graves."
1000400,1000403,1000400,952,"Aldrich, Saint of the Deep."
1000400,1000403,1000401,1008,"Farron's Undead Legion, the Abyss Watchers."
1000400,1000403,1000402,1096,"And the reclusive lord of the Profaned Capital,"
1000400,1000403,1000403,1192,"Yhorm the Giant."
1000500,1000502,1000500,1226,"Only, in truth..."
1000500,1000502,1000501,1262,"The Lords will abandon their thrones,"
1000500,1000502,1000502,1338,"and the Unkindled will rise."
1000600,1000602,1000600,1396,"Nameless, accursed Undead, unfit even to be cinder."
1000600,1000602,1000601,1500,"And so it is."
1000600,1000602,1000602,1528,"That ash seeketh embers."
