IdMin,IdMax,Index,TableOffset,Text 
100000,100003,100000,10304,"DARK　SOULS"
100000,100003,100002,10326,"セーブデータ"
100000,100003,100003,10340,"セーブデータ"
120000,120023,120000,10354,"レベルアップ"
120000,120023,120001,10368,"魔法記憶"
120000,120023,120010,10378,"購入"
120000,120023,120011,10384,"修理"
120000,120023,120012,10390,"武器強化"
120000,120023,120016,10400,"食べさせる"
120000,120023,120017,10412,"一覧"
120000,120023,120018,10418,"底なしの箱"
120000,120023,120019,10430,"人間性回復"
120000,120023,120020,10442,"防具強化"
120000,120023,120021,10452,"武器進化"
120000,120023,120022,10462,"<?goodsNameId@108?>"
120000,120023,120023,10502,"<?goodsNameId@112?>"
122000,122000,122000,10542,"必要ソウル"
122050,122050,122050,10554,"得られるソウル"
130000,130004,130000,10570,"PRESS START BUTTON"
130000,130004,130001,10608,"NEW GAME"
130000,130004,130002,10626,"LOAD GAME"
130000,130004,130003,10646,"⑬2011 NBGI ⑬2011 FromSoftware, Inc."
130000,130004,130004,10718,"⑬2011 NAMCO BANDAI Games Inc."
130020,130021,130020,10778,"データリスト"
130020,130021,130021,10792,"キャラクター作成"
132010,132029,132010,10810,"男性"
132010,132029,132011,10816,"女性"
132010,132029,132020,10822,"戦士"
132010,132029,132021,10828,"騎士"
132010,132029,132022,10834,"放浪者"
132010,132029,132023,10842,"盗人"
132010,132029,132024,10848,"山賊"
132010,132029,132025,10854,"狩人"
132010,132029,132026,10860,"魔術師"
132010,132029,132027,10868,"呪術師"
132010,132029,132028,10876,"聖職者"
132010,132029,132029,10884,"持たざるもの"
132050,132058,132050,10898,"なし"
132050,132058,132051,10904,"女神の祝福"
132050,132058,132052,10916,"黒い火炎壺"
132050,132058,132053,10928,"人間性の双子"
132050,132058,132054,10942,"遠眼鏡"
132050,132058,132055,10950,"ペンダント"
132050,132058,132056,10962,"万能鍵"
132050,132058,132057,10970,"小さな生命の指輪"
132050,132058,132058,10988,"老魔女の指輪"
132080,132080,132080,11002,"外見の編集"
132100,132100,132100,11014,"キャラクターの名前を入力してください"
132200,132201,132200,11052,"キャラクターの名前を入力してください"
132200,132201,132201,11090,"---"
132310,132329,132310,11098,"男性のキャラクター 性別と能力は無関係"
132310,132329,132311,11138,"女性のキャラクター 性別と能力は無関係"
132310,132329,132320,11178,"戦を生業とする戦士 筋力、技量共に高い 武器の専門家"
132310,132329,132321,11232,"下級の騎士 体力が高く鎧も硬く 打たれ強い"
132310,132329,132322,11276,"あてのない放浪者 曲刀を武器とする 技量の高い剣士"
132310,132329,132323,11328,"うしろめたい盗人 致命の一撃を狙う 万能鍵を持っている"
132310,132329,132324,11384,"野蛮な山の盗賊 高い筋力で 重い戦斧を振るう"
132310,132329,132325,11430,"弓を使う狩人 接近戦もこなすが 魔法全般は苦手"
132310,132329,132326,11478,"ヴィンハイムの 竜の学院の魔術師 ソウルの魔術を操る"
132310,132329,132327,11532,"大沼の呪術師 炎を操る呪術の他 手斧も使いこなす"
132310,132329,132328,11582,"旅の聖職者 メイスを振るい 回復の奇跡を使う"
132310,132329,132329,11628,"素性も知れぬ裸の人 棍棒と板きれの盾が 装備品のすべて"
132350,132358,132350,11684,"贈り物など なにもなかった"
132350,132358,132351,11712,"祝福の聖水 ＨＰを全回復し 異常を癒す"
132350,132358,132352,11752,"投げつけると 爆発する黒い火炎壷 通常のものより強力"
132350,132358,132353,11806,"稀に死体に見られる 小さな黒い精霊 人間性と呼ばれる"
132350,132358,132354,11860,"双眼の遠眼鏡 遠くの景色が 大きく見える"
132350,132358,132355,11902,"何の効果もない品 だが辛い旅には 思い出が必要なのだ"
132350,132358,132356,11956,"簡単な鍵であれば 開けてしまう万能鍵 素性盗人の初期装備"
132350,132358,132357,12014,"古くから伝わる指輪 装備することで ＨＰが少し増える"
132350,132358,132358,12068,"魔女からの贈り物 特に効果のない 古い指輪のようだが"
132380,132388,132380,12122,"ごく普通の体型"
132380,132388,132381,12138,"痩せた体型"
132380,132388,132382,12150,"とても痩せた体型 ガリガリ"
132380,132388,132383,12178,"太った体型"
132380,132388,132384,12190,"とても太った体型 貫禄がある"
132380,132388,132385,12220,"特に上半身が がっちりとした体型"
132380,132388,132386,12254,"特に下半身が でっぷりとした体型"
132380,132388,132387,12288,"頭が大きな体型 賢いのかもしれない"
132380,132388,132388,12324,"頭が小さな体型"
132400,132459,132400,12340,"ごくありふれた 平民の顔"
132400,132459,132401,12366,"五指河流域に暮らす 農民によくある顔"
132400,132459,132402,12404,"美形の貴族顔 アストラに多い"
132400,132459,132403,12434,"知的で線の細い顔 ただし書生顔とは 多くは揶揄である"
132400,132459,132404,12488,"頑なさで知られる 聖職者の国 ソルロンドの面相"
132400,132459,132405,12536,"陽気そうな顔 酒と謳歌の国 カタリナのイメージ"
132400,132459,132406,12584,"陰気そうな顔 主にカリム伯の よからぬ風評から"
132400,132459,132407,12632,"歴史あるゼナに多い 古めかしい面相 思慮深いイメージ"
132400,132459,132408,12686,"他と違う異形の顔 偏見は異端を生み 異端は大沼に至る"
132400,132459,132409,12740,"はるか東の地の面相 切れ長の細い目と 薄い唇に特徴がある"
132400,132459,132410,12798,"ごくありふれた 平民の顔"
132400,132459,132411,12824,"五指河流域に暮らす 農民によくある顔"
132400,132459,132412,12862,"美形の貴族顔 アストラに多い"
132400,132459,132413,12892,"知的で線の細い顔 ただし書生顔とは 多くは揶揄である"
132400,132459,132414,12946,"頑なさで知られる 聖職者の国 ソルロンドの面相"
132400,132459,132415,12994,"陽気そうな顔 酒と謳歌の国 カタリナのイメージ"
132400,132459,132416,13042,"陰気そうな顔 主にカリム伯の よからぬ風評から"
132400,132459,132417,13090,"歴史あるゼナに多い 古めかしい面相 思慮深いイメージ"
132400,132459,132418,13144,"他と違う異形の顔 偏見は異端を生み 異端は大沼に至る"
132400,132459,132419,13198,"はるか東の地の面相 切れ長の細い目と 薄い唇に特徴がある"
132400,132459,132420,13256,"綺麗に剃り上げた スキンヘッド"
132400,132459,132421,13288,"無造作な戦士の髪型 年齢を感じる"
132400,132459,132422,13322,"短く刈り込んだ髪型 緩くウェーブあり"
132400,132459,132423,13360,"長髪をそのまま 後ろに流した髪型"
132400,132459,132424,13394,"長髪を後ろに流し まとめて縛った髪型"
132400,132459,132425,13432,"自然な長髪 汗に濡れ乱れている"
132400,132459,132426,13464,"手入れされた髪型 若者に多い"
132400,132459,132427,13494,"手入れされた髪型 少し長め"
132400,132459,132428,13522,"癖の強い巻き毛を 短めに切った髪型"
132400,132459,132429,13558,"丁寧に形作られた 古い貴族の髪型"
132400,132459,132430,13592,"綺麗に剃り上げた スキンヘッド"
132400,132459,132431,13624,"まるで男性のように 短く刈り込んだ髪型"
132400,132459,132432,13664,"癖の強い巻き毛を 短めに切った髪型"
132400,132459,132433,13700,"ばさりと切り揃えた ストレートヘア 前髪は残している"
132400,132459,132434,13754,"ばさりと切り揃えた ストレートヘア 前髪は分けている"
132400,132459,132435,13808,"長い髪をまとめ 後ろで縛った髪型 前髪は残している"
132400,132459,132436,13860,"前髪まで含め 長い髪をまとめ 後ろで縛った髪型"
132400,132459,132437,13908,"長い髪をまとめ 左右で縛った髪型"
132400,132459,132438,13942,"長い髪をまとめ 緩く結った髪型"
132400,132459,132439,13974,"長い髪を編み込んだ 古い貴族の髪型"
132400,132459,132440,14010,"黒色の髪と瞳 一般的な色味の１つ"
