IdMin,IdMax,Index,TableOffset,Text 
1000,1000,1000,8896,"∞"
3000,3005,3000,8900,"OK"
3000,3005,3001,8906,"CANCEL"
3000,3005,3002,8920,"YES"
3000,3005,3003,8928,"NO"
3000,3005,3004,8934,"決定"
3000,3005,3005,8940,"キャンセル"
10000,10011,10000,8952,"なし"
10000,10011,10001,8958,"標準"
10000,10011,10010,8964,"打撃"
10000,10011,10011,8970,"標準/打撃"
10100,10111,10100,8982,"斬撃"
10100,10111,10101,8988,"標準/斬撃"
10100,10111,10110,9000,"打撃/斬撃"
10100,10111,10111,9012,"標準/打撃/斬撃"
11000,11011,11000,9030,"刺突"
11000,11011,11001,9036,"標準/刺突"
11000,11011,11010,9048,"打撃/刺突"
11000,11011,11011,9060,"標準/打撃/刺突"
11100,11111,11100,9078,"斬撃/刺突"
11100,11111,11101,9090,"標準/斬撃/刺突"
11100,11111,11110,9108,"打撃/斬撃/刺突"
11100,11111,11111,9126,"標準/打撃/斬撃/刺突"
101000,101018,101000,9150,"名前"
101000,101018,101001,9156,"性別"
101000,101018,101002,9162,"誓約"
101000,101018,101003,9168,"体力"
101000,101018,101004,9174,"記憶力"
101000,101018,101005,9182,"持久力"
101000,101018,101006,9190,"筋力"
101000,101018,101007,9196,"技量"
101000,101018,101008,9202,"耐久力"
101000,101018,101009,9210,"理力"
101000,101018,101010,9216,"信仰"
101000,101018,101011,9222,"運　"
101000,101018,101012,9228,"人間性"
101000,101018,101013,9236,"レベル"
101000,101018,101014,9244,"贈り物"
101000,101018,101016,9252,"プレイ時間"
101000,101018,101017,9264,"素性"
101000,101018,101018,9270,"場所"
101030,101063,101030,9276,"HP"
101030,101063,101032,9282,"スタミナ"
101030,101063,101033,9292,"出血耐性"
101030,101063,101034,9302,"毒耐性"
101030,101063,101035,9310,"猛毒耐性"
101030,101063,101036,9320,"呪耐性"
101030,101063,101037,9328,"アイテム発見力"
101030,101063,101040,9344,"装備重量"
101030,101063,101041,9354,"所持ソウル"
101030,101063,101042,9366,"右　武器１"
101030,101063,101043,9378,"右　武器２"
101030,101063,101044,9390,"左　武器１"
101030,101063,101045,9402,"左　武器２"
101030,101063,101046,9414,"物理防御力"
101030,101063,101047,9426,"対打撃"
101030,101063,101048,9434,"対斬撃"
101030,101063,101049,9442,"対刺突"
101030,101063,101050,9450,"魔法防御力"
101030,101063,101051,9462,"炎防御力"
101030,101063,101052,9472,"雷防御力"
101030,101063,101053,9482,"強靭度"
101030,101063,101060,9490,"記憶スロット数"
101030,101063,101062,9506,"使用回数"
101030,101063,101063,9516,"合計使用回数"
102000,102001,102000,9530,"重量"
102000,102001,102001,9536,"耐久度"
102100,102109,102100,9544,"攻撃力"
102100,102109,102101,9552,"物理"
102100,102109,102102,9558,"魔法"
102100,102109,102103,9564,"炎"
102100,102109,102104,9568,"雷"
102100,102109,102105,9572,"致命"
102100,102109,102106,9578,"魔法威力修正"
102100,102109,102107,9592,"奇跡威力修正"
102100,102109,102108,9606,"射程距離"
102100,102109,102109,9616,"呪術威力修正"
102120,102132,102120,9630,"ダメージカット率"
102120,102132,102121,9648,"物理"
102120,102132,102122,9654,"魔法"
102120,102132,102123,9660,"炎"
102120,102132,102124,9664,"雷"
102120,102132,102125,9668,"受け能力"
102120,102132,102130,9678,"能力補正"
102120,102132,102131,9688,"特殊効果"
102120,102132,102132,9698,"必要能力値"
102150,102170,102150,9710,"-"
102150,102170,102151,9714,"S"
102150,102170,102152,9718,"A"
102150,102170,102153,9722,"B"
102150,102170,102154,9726,"C"
102150,102170,102155,9730,"D"
102150,102170,102156,9734,"E"
102150,102170,102160,9738,"攻撃属性："
102150,102170,102170,9750,"武器種別："
