IdMin,IdMax,Index,TableOffset,Text 
10000,10004,10001,1584,"アイテムを確認、使用します"
10000,10004,10002,1612,"武器、防具などを装備します"
10000,10004,10003,1640,"ステータスを確認します"
10000,10004,10004,1664,"環境設定を行うか、ゲームを終了します"
11000,11007,11000,1702,"確認、使用するアイテムを選択してください"
11000,11007,11001,1744,"確認するアイテムを選択してください"
11000,11007,11002,1780,"並び位置を変更するアイテムを選択してください"
11000,11007,11003,1826,"選択したアイテムの並び位置を決めてください"
11000,11007,11004,1870,"選択したアイテムを捨てます"
11000,11007,11005,1898,"アイテムの並び順を変更します"
11000,11007,11006,1928,"アイテムの並び順を初期状態に戻します"
11000,11007,11007,1966,"選択したアイテムを使用します"
12000,12001,12000,1996,"装備する場所を選択してください"
12000,12001,12001,2028,"装備するアイテムを選択してください"
14000,14000,14000,2064,"ステータスを確認します"
16000,16011,16000,2088,"環境設定を変更してください"
16000,16011,16001,2116,"環境設定を調整してください"
16000,16011,16003,2144,"設定変更を確定します"
16000,16011,16004,2166,"設定を確定して次へ進みます"
16000,16011,16005,2194,"設定を初期状態に戻します"
16000,16011,16006,2220,"設定を初期状態に戻します"
16000,16011,16010,2246,"輝度設定を変更してください"
16000,16011,16011,2274,"輝度設定を調整してください"
16100,16100,16100,2302,"自分で書いたメッセージの一覧です"
16500,16503,16500,2336,"環境設定を変更します"
16500,16503,16502,2358,"ゲームを終了し、タイトル画面へ戻ります"
16500,16503,16503,2398,"輝度設定を変更します"
16600,16601,16600,2420,"使用するジェスチャーを選択してください"
16600,16601,16601,2460,"セットするジェスチャーを選択してください"
18000,18000,18000,2502,"転送する篝火を選択してください"
18200,18211,18200,2534,"世界の罪人たち"
18200,18211,18201,2550,"罪人の詳細情報です"
18200,18211,18210,2570,"混沌の従者たち"
18200,18211,18211,2586,"従者の詳細情報です"
18300,18310,18300,2606,"世界の罪人たち"
18300,18310,18301,2622,"プレイヤーの詳細情報です"
18300,18310,18310,2648,"混沌の従者たち"
20000,20001,20000,2664,"成長させる能力値を選択してください"
20000,20001,20001,2700,"成長させる能力値を選択してください"
