IdMin,IdMax,Index,TableOffset,Text 
100,100,100,29672,"(dummyText)"
200,200,200,29696,"(dummyText)"
300,300,300,29720,"(dummyText)"
400,400,400,29744,"(dummyText)"
500,503,500,29768,"Ahh, you ignorant slaves. Finally taken notice, have you?"
500,503,501,29884,"Of the power of my beloved Ocelotte, child of dragons."
500,503,502,29994,"Well, I will not give him up."
500,503,503,30054,"For he is all that I have."
600,604,600,30108,"Oh, dear brother..."
600,604,601,30148,"I'm on my way..."
600,604,602,30182,"My brother, unyielding sword of Lothric's Prince."
600,604,603,30282,"Rise, if you would."
600,604,604,30322,"...For that is our curse."
700,706,700,30374,"Oh dear, another dogged contender."
700,706,701,30444,"Welcome, Unkindled one, purloiner of cinders."
700,706,702,30536,"Mind you, the mantle of lord interests me none."
700,706,703,30632,"The fire-linking curse, the legacy of lords, let it all fade into nothing."
700,706,704,30782,"Ill-starred are they who take the throne. I shall not stand among them."
700,706,705,30926,"You've done quite enough, now have your rest."
700,706,706,31018,"The royal sword of Lothric shall grant you peace."
750,750,750,31118,"(dummyText)"
800,800,800,31142,"(dummyText)"
900,900,900,31166,"(dummyText)"
1000,1000,1000,31190,"(dummyText)"
1100,1100,1100,31214,"(dummyText)"
1200,1200,1200,31238,"(dummyText)"
1300,1300,1300,31262,"(dummyText)"
1400,1400,1400,31286,"(dummyText)"
1500,1500,1500,31310,"(dummyText)"
1600,1607,1600,31334,"Shame on you, you greedy guts. "
1600,1607,1601,31398,"Shame on you, you insatiable wench."
1600,1607,1602,31470,"Shame on you, you rotten cleric."
1600,1607,1603,31536,"Shame on you, you rotten nun."
1600,1607,1604,31596,"Thought you could outwit an onion?"
1600,1607,1605,31666,"Well, say hello to the nice giant! He adores visitors."
1600,1607,1606,31776," "
1600,1607,1607,31780," "
1700,1700,1700,31784,"(dummyText)"
1800,1800,1800,31808,"(dummyText)"
1900,1900,1900,31832,"(dummyText)"
1950,1953,1950,31856,"Ahh, Unkindled One."
1950,1953,1951,31896,"The fire fades, and awaits its one last Lord."
1950,1953,1952,31988,"Prince Lothric is in your hands..."
1950,1953,1953,32058,"Please, save his soul."
2000,2000,2000,32104,"(dummyText)"
2100,2100,2100,32128,"(dummyText)"
2200,2200,2200,32152,"(dummyText)"
2300,2300,2300,32176,"(dummyText)"
2400,2400,2400,32200,"(dummyText)"
2450,2453,2450,32224,"Ahh, Unkindled One."
2450,2453,2451,32264,"The fire fades, and awaits its one last Lord."
2450,2453,2452,32356,"Prince Lothric is in your hands..."
2450,2453,2453,32426,"Please, save his soul."
2500,2500,2500,32472,"(dummyText)"
2600,2603,2600,32496,"Yhorm, old friend."
2600,2603,2601,32534,"I, Siegward of the Knights of Catarina, have come to uphold my promise!"
2600,2603,2602,32678,"Let the sun shine upon this Lord of Cinder."
2600,2603,2603,32766," "
2700,2706,2700,32770,"Noble Lords of Cinder."
2700,2706,2701,32816,"The fire fades..."
2700,2706,2702,32852,"...and the lords go without thrones."
2700,2706,2703,32926,"Surrender your fires..."
2700,2706,2704,32974,"...to the true heir."
2700,2706,2705,33016,"Let him grant death..."
2700,2706,2706,33062,"Let her grant death..."
2755,2755,2755,33108,"To the old gods of Lordran, deliverers of the First Flame."
2800,2800,2800,33226,"(dummyText)"
2900,2900,2900,33250,"(dummyText)"
3000,3001,3000,33274,"Ahh, our gracious Lord..."
3000,3001,3001,33326,"Make Londor whole..."
3100,3110,3100,33368,"The First Flame quickly fades."
3100,3110,3101,33430,"Darkness will shortly settle."
3100,3110,3102,33490,"But one day, tiny flames will dance across the darkness."
3100,3110,3103,33604,"Like embers, linked by lords past."
3100,3110,3110,33674,"Ashen one, hearest thou my voice, still?"
3200,3202,3200,33756,"Ashen one, was it all a lie?"
3200,3202,3201,33814,"But why, ashen one..."
3200,3202,3202,33858,"Great lord of dark..."
1000000,1000002,1000000,33902,"Yes, indeed."
1000000,1000002,1000001,33928,"It is called Lothric,"
