IdMin,IdMax,Index,TableOffset,Text 
20,20,20,50816,"****"
998,999,998,50826,"<?kgRun?><?kgDash?><?kgCamera?><?kgLock?><?kgAttackL?><?kgAttackR?><?kgArts?><?kgStrongAttackR?><?kgChangeEquStyle?><?kgChangeWeaponBoth?><?kgChangeWeaponL?><?kgChangeWeaponR?>"
998,999,999,51180,"<?kgRun?><?kgDash?><?kgCamera?><?kgLock?><?kgAttackL?><?kgAttackR?><?kgArts?><?kgStrongAttackR?><?kgChangeEquStyle?><?kgChangeWeaponBoth?> <?kgChangeWeaponL?><?kgChangeWeaponR?><?kgChangeMagic?><?kgUseItem?><?kgChangeItem?><?kgStartAction?><?kgPrecisionFireMode?><?kgZoomIn?><?kgZoomOut?><?kgGesture?><?kgMenu?>"
3000,3001,3000,51804,"Peer over the cliff, and hold up the banner"
3000,3001,3001,51892,"Place the basin at the statue of the beheading knight"
3100,3102,3100,52000,"Great curse-ridden tree ahead"
3100,3102,3101,52060,"A transposing kiln lies within the belly"
3100,3102,3102,52142,"Arrows of a giant rain down beside the white birch"
3200,3206,3200,52244,"Plunging attack"
3200,3206,3201,52276,"The path to the archdragons lies through meditation"
3200,3206,3202,52380,"To travel the Path of the Dragon, do not ring the great bell"
3200,3206,3203,52502,"Nothing will remain once the bell has tolled"
3200,3206,3204,52592,"Try plunging attack"
3200,3206,3205,52632,"Plunging attack!"
3200,3206,3206,52666,"Weakness: Head"
3300,3310,3300,52696,"Warriors slumber ahead"
3300,3310,3301,52742,"Turn back"
3300,3310,3310,52762,"Extinguish three flames, and open the door to Wolf's Blood"
3400,3410,3400,52880,"Wear wax before nearing the tome"
3400,3410,3410,52946,"Try jumping off"
3700,3710,3700,52978,"Bring a doll to be granted passage"
3700,3710,3710,53048,"Who treads across thin air?"
3800,3801,3800,53104,"Suspended bridge is wearing thin"
3800,3801,3801,53170,"Even broken, it still has a use"
3900,3912,3900,53234,"The path to the archdragons lies through meditation"
3900,3912,3910,53338,"Only a storm can fell a Greatwood"
3900,3912,3911,53406,"To vanquish a giant, bring the sword that rules storms"
3900,3912,3912,53516,"Skill"
4000,4011,4000,53528,"Turn back!"
4000,4011,4001,53550,"It would be wise to turn back and search, if you possess not an Estus Flask"
4000,4011,4010,53702,"The bonfire will deliver thee to Lothric"
4000,4011,4011,53784,"To soothe the dark sigil, pillage the Fire Keeper's grave"
9000,9032,9000,53900,"<?kgCamera?>: Control Camera"
9000,9032,9001,53958,"<?kgMenu?>: Open menu"
9000,9032,9002,54002,"<?kgAttackR?>: Regular attack"
9000,9032,9003,54062,"<?kgStrongAttackR?> : Strong Attack"
9000,9032,9004,54134,"Move + <?kgDash?> : Dash"
9000,9032,9005,54184,"<?kgDash?> : Backstep <?kgRun?>＋<?kgDash?> : Roll"
9000,9032,9006,54284,"<?kgLock?> : Target Lock/Release"
9000,9032,9007,54350,"<?kgAttackL?>: Guard"
9000,9032,9008,54392,"<?kgUseItem?> : Use Item"
9000,9032,9009,54442,"Rest at bonfire : Replenish Estus Flask"
9000,9032,9010,54522,"<?kgArts?>: Parry (repel attack) <?kgAttackR?>: Riposte (after a successful parry)"
9000,9032,9011,54688,"<?kgChangeWeaponBoth?> : Change Weapons <?kgChangeItem?> : Toggle Items"
9000,9032,9012,54832,"<?categoryChangeR?> with staff equipped : Use Sorcery <?selectU?> : Change Sorcery"
9000,9032,9013,54998,"<?categoryChangeR?> with Pyromancy Flame equipped : Use Pyromancy <?selectU?> : Change Pyromancy"
9000,9032,9014,55192,"With Bow equipped <?categoryChangeR?> : Use Bow (Shoot) <?shortCutL?><?shortCutR?> : Change Arrows"
9000,9032,9015,55390,"With Bow pulled <?categoryChangeL?> : Precision Fire Mode/Release In Precision Fire Mode <?selectUD?> : Zoom"
9000,9032,9016,55608,"<?categoryChangeL?> with left weapon equipped : Left Weapon Attack"
9000,9032,9018,55742,"<?categoryChangeR?> : Attack <?shortCutR?> : Strong Attack"
9000,9032,9019,55860,"Rest at bonfire: Restore HP and Estus supply"
9000,9032,9024,55950,"With Talisman equipped <?categoryChangeR?> : Use Miracle <?selectU?> : Toggle Miracles"
9000,9032,9025,56124,"Resting at bonfire revives enemies"
9000,9032,9026,56194,"<?kgRun?>＋<?kgAttackR?> : Kick"
9000,9032,9027,56256,"<?kgAttackR?> behind an enemy : Critical Hit"
9000,9032,9028,56346,"<?kgChangeEquStyle?>: Two-hand right weapon <?kgArts?> while two-handing : Use right weapon Skills"
9000,9032,9030,56544,"<?kgAttackR?> while falling: Plunging Attack"
9000,9032,9031,56634,"<?kgStrongAttackR?> while dashing: Jumping Attack"
9000,9032,9032,56734,"<?kgJump?> while dashing: Jump"
10000,10016,10000,56796,"<?bmsg?> ahead"
10000,10016,10001,56826,"No <?bmsg?> ahead"
10000,10016,10002,56862,"<?bmsg?> required ahead"
10000,10016,10003,56910,"be wary of <?bmsg?>"
10000,10016,10004,56950,"try <?bmsg?>"
10000,10016,10005,56976,"Could this be a <?bmsg?>?"
10000,10016,10006,57028,"If only I had a <?bmsg?>..."
10000,10016,10007,57084,"visions of <?bmsg?>... "
10000,10016,10008,57132,"Time for <?bmsg?>"
10000,10016,10009,57168,"<?bmsg?>"
10000,10016,10010,57186,"<?bmsg?>!"
10000,10016,10011,57206,"<?bmsg?>?"
10000,10016,10012,57226,"<?bmsg?>..."
10000,10016,10013,57250,"Huh. It's a <?bmsg?>..."
10000,10016,10014,57298,"praise the <?bmsg?>!"
10000,10016,10015,57340,"Let there be <?bmsg?>"
10000,10016,10016,57384,"Ahh, <?bmsg?>..."
30000,30071,30000,57418,"Creatures"
30000,30071,30001,57438,"enemy"
30000,30071,30002,57450,"monster"
30000,30071,30003,57466,"mob enemy"
30000,30071,30004,57486,"tough enemy"
30000,30071,30005,57510,"critical foe"
30000,30071,30006,57536,"Hollow"
30000,30071,30007,57550,"pilgrim"
30000,30071,30008,57566,"prisoner"
30000,30071,30009,57584,"monstrosity"
30000,30071,30010,57608,"skeleton"
30000,30071,30011,57626,"ghost"
30000,30071,30012,57638,"beast"
