IdMin,IdMax,Index,TableOffset,Text 
1000,1011,1000,1192,"名前　：キャラクターの名前"
1000,1011,1001,1220,"性別　：男あるいは女。性別によって装備できない防具がある"
1000,1011,1002,1278,"生まれ　：キャラクターの生まれ"
1000,1011,1003,1310,"体力　：HP、所持重量に影響する"
1000,1011,1004,1344,"知力　：MP、魔法記憶数に影響する"
1000,1011,1005,1380,"頑強　：スタミナ、装備重量、炎防御、出血および毒耐性に影響する"
1000,1011,1006,1444,"筋力　：攻撃ボーナスに影響する"
1000,1011,1007,1476,"技量　：攻撃ボーナス、落下によるダメージに影響する"
1000,1011,1008,1528,"魔力　：魔法威力修正に影響する"
1000,1011,1009,1560,"信仰　：奇跡威力修正、奇跡記憶数、魔法防御に影響する"
1000,1011,1010,1614,"運　：アイテム出現率、疫病耐性に影響する"
1000,1011,1011,1656,"ソウルレベル　：ソウルによる成長の度合い"
1100,1107,1100,1698,"HP　：現在値/最大値。0になると死亡する。ソウルの体では、最大値が半分になる"
1100,1107,1101,1778,"MP　：現在値/最大値。魔法および奇跡の使用により消費する"
1100,1107,1102,1838,"スタミナ　：攻撃、ダッシュ、回避などにより消費する。自動的に回復していく"
1100,1107,1103,1912,"装備重量　：現在値/上限値。装備している武器、防具の重量の合計。上限値を超えると、著しく動きが遅くなる"
1100,1107,1104,2016,"所持重量　：現在値/上限値。所持しているすべてのアイテムの重量の合計。上限値を越えた所持はできない"
1100,1107,1105,2116,"指輪効果　：装備している指輪の特殊効果。指輪は2個まで装備できる"
1100,1107,1106,2182,"所持ソウル　：所持しているソウル。死亡により失われるが、血痕に触れることで取り戻すことができる"
1100,1107,1107,2278,"－"
1200,1212,1200,2282,"右　第一武器　：右手に装備している武器の攻撃力"
1200,1212,1201,2330,"右　第二武器　：右手に装備している武器の攻撃力"
1200,1212,1202,2378,"左　第一武器　：左手に装備している武器の攻撃力"
1200,1212,1203,2426,"左　第二武器　：左手に装備している武器の攻撃力"
1200,1212,1204,2474,"物理防御力　：通常の攻撃に対する防御力。（）内は装備を外した場合"
1200,1212,1205,2540,"対斬撃　：特に斬撃に対する防御力。物理防御力がベースとなる"
1200,1212,1206,2600,"対打撃　：特に打撃に対する防御力。物理防御力がベースとなる"
1200,1212,1207,2660,"対刺突　：特に刺突に対する防御力。物理防御力がベースとなる"
1200,1212,1208,2720,"魔法防御力　：魔法の攻撃に対する防御力。（）内は装備を外した場合"
1200,1212,1209,2786,"炎防御力　：炎の攻撃に対する防御力。（）内は装備を外した場合"
1200,1212,1210,2848,"出血耐性　：出血に耐える力。高いほど、出血状態になりにくい"
1200,1212,1211,2908,"毒耐性　：毒に耐える力。高いほど、毒状態になりにくい"
1200,1212,1212,2962,"疫病耐性　：疫病に耐える力。高いほど、疫病状態になりにくい"
2200,2202,2200,3022,"重量"
2200,2202,2201,3028,"必要ソウル"
2200,2202,2202,3040,"耐久度"
2311,2321,2311,3048,"物理攻撃"
2311,2321,2312,3058,"魔法攻撃"
2311,2321,2313,3068,"炎攻撃"
2311,2321,2314,3076,"魔法威力修正"
2311,2321,2315,3090,"奇跡威力修正"
2311,2321,2316,3104,"射程距離"
2311,2321,2321,3114,"必要能力"
2344,2352,2344,3124,"ダメージカット率"
2344,2352,2345,3142,"衝撃耐性"
2344,2352,2351,3152,"付加パラメータ"
2344,2352,2352,3168,"特殊効果"
2411,2431,2411,3178,"装備可能性別"
2411,2431,2421,3192,"物理防御力"
2411,2431,2422,3204,"対斬撃"
2411,2431,2423,3212,"対打撃"
2411,2431,2424,3220,"対刺突"
2411,2431,2425,3228,"魔法防御力"
2411,2431,2426,3240,"炎防御力"
2411,2431,2431,3250,"耐性"
2900,2901,2900,3256,"アイテム名称"
2900,2901,2901,3270,"簡易説明"
101100,101112,101100,3280,"名前の説明"
101100,101112,101101,3292,"性別の説明"
101100,101112,101102,3304,"誓約の説明"
101100,101112,101103,3316,"体力の説明"
101100,101112,101104,3328,"精神力の説明"
101100,101112,101105,3342,"持久力の説明"
101100,101112,101106,3356,"筋力の説明"
101100,101112,101107,3368,"技量の説明"
101100,101112,101108,3380,"耐久力の説明"
101100,101112,101109,3394,"知力の説明"
101100,101112,101110,3406,"理力の説明"
101100,101112,101111,3418,"運　の説明"
101100,101112,101112,3430,"レベルの説明"
101130,101161,101130,3444,"HPの説明"
101130,101161,101131,3456,"MPの説明"
101130,101161,101132,3468,"スタミナの説明"
101130,101161,101133,3484,"出血耐性の説明"
101130,101161,101134,3500,"毒耐性の説明"
101130,101161,101135,3514,"疫病耐性の説明"
101130,101161,101136,3530,"呪耐性の説明"
101130,101161,101137,3544,"ドロップ率の説明"
101130,101161,101140,3562,"装備重量の説明"
101130,101161,101141,3578,"所持ソウルの説明"
101130,101161,101142,3596,"右　第一武器の説明"
101130,101161,101143,3616,"右　第二武器の説明"
101130,101161,101144,3636,"左　第一武器の説明"
101130,101161,101145,3656,"左　第二武器の説明"
101130,101161,101146,3676,"物理防御力の説明"
101130,101161,101147,3694,"対打撃の説明"
101130,101161,101148,3708,"対暫撃の説明"
101130,101161,101149,3722,"対刺突の説明"
101130,101161,101150,3736,"魔法防御力の説明"
101130,101161,101151,3754,"炎防御力の説明"
101130,101161,101152,3770,"雷防御力の説明"
101130,101161,101160,3786,"魔法スロット数の説明"
101130,101161,101161,3808,"奇跡スロット数の説明"
